wave,station,bbp,boat
394,StationOUT-F03,0.004289787,kildir
420,StationOUT-F03,0.006663423,kildir
470,StationOUT-F03,0.008027681,kildir
532,StationOUT-F03,0.009628503,kildir
620,StationOUT-F03,0.008968445,kildir
700,StationOUT-F03,0.005935267,kildir
