wave,station,bbp,boat
394,StationMAN-R01,0.00457438,kildir
420,StationMAN-R01,0.003916579,kildir
470,StationMAN-R01,0.003726554,kildir
532,StationMAN-R01,0.003579198,kildir
620,StationMAN-R01,0.003041571,kildir
700,StationMAN-R01,0.003103854,kildir
