wave,station,bbp,boat
394,StationOUT-F01,0.019839036,kildir
420,StationOUT-F01,0.017807084,kildir
470,StationOUT-F01,0.016374923,kildir
532,StationOUT-F01,0.015954955,kildir
620,StationOUT-F01,0.014190944,kildir
700,StationOUT-F01,0.01334236,kildir
