chl,adg.440,bbp550,chl.sd,adg440.sd,bbp550.sd
29.8781317327783,1.47890754993038,0.0627861891100525,0.0191710313261262,0.000194996452153673,1.1682146081876e-05
24.0728153139766,0.940801002403075,0.0289476957501115,0.0230638543338655,0.000309243510084595,7.78413706042775e-06
0.01,1.74352897849245,0.0182672920010628,NA,0.000370865034244899,2.80261100714309e-06
0.01,1.80427491395185,0.0558937128690418,NA,0.000112482279163742,2.43400319062001e-06
50,0.785836461838835,0.042476936359551,0.0334513393849083,0.000311414256294928,1.1412060714811e-05
50,1.55375676262859,0.0316748486293068,0.0660298541862825,0.000630928562036371,1.49002735882981e-05
33.3114373257371,0.854913088427355,0.0309222361407137,0.0301901802378559,0.000341587689424739,9.44396314644132e-06
9.52654085365297,0.892562549259304,0.033748787600214,0.0182399607508113,0.000325207511665061,8.93666713428729e-06
0.142117690903138,0.0161853299931382,0.00252148658551242,4.43595042547144e-05,1.874792353144e-06,2.22765181988141e-07
1.08336632657923,0.0338371468055624,0.00224231458830005,0.000625405757734482,1.18139949520284e-05,4.7250900352885e-07
3.12237693492224,0.0403697910446421,0.00252674366632901,0.00251466210803473,2.61005718389939e-05,8.9097876278472e-07
1.30311716787118,0.040578113041799,0.00342747663222302,0.000620784075625017,1.13317462276487e-05,5.31167461389106e-07
0.87839333330246,0.0332609099577679,0.00365417013710439,0.000321001036961668,7.05826048025647e-06,4.13620088316206e-07
0.326790686967769,0.0314285752487838,0.00217855849732958,0.000167790550073584,6.1826908727716e-06,3.09616286355004e-07
0.274128757417784,0.0284313619156529,0.00190273088210307,0.000145142514845764,5.56384759324894e-06,2.92504133789266e-07
1.67267190146326,0.174410306076504,0.00622230455845433,0.00177431078241366,5.4857893258896e-05,1.0646263474982e-06
0.625398422823461,0.256989273561675,0.00274221989151353,0.00362211219206947,0.000189902812664382,1.03368224723247e-06
0.457300666243552,0.28451036671515,0.00285576820696834,0.00371424186062942,0.000224639699765197,1.04267940969994e-06
0.01,0.327599962659419,0.00297257946612003,NA,NA,7.57906471713589e-07
0.01,0.209733616469274,0.00216500143040947,NA,NA,5.90455903078559e-07
0.716380707074953,0.158883301712081,0.00101259042839913,0.00340650174245553,0.000142179739700553,7.74620286081992e-07
1.73500697754316,0.156998916239185,0.00660138219877266,0.0014200276902723,4.17764760721512e-05,9.72672401663623e-07
0.01,0.0800549875847312,0.0017904215490037,0.000126059180642863,2.90586171417343e-05,3.42706621918022e-07
0.13937370624157,0.0160454211957991,0.00180305253102192,5.57041881737483e-05,2.25295899745164e-06,2.29906839593712e-07
0.0282182066109027,0.768520764094901,0.00189411669686164,0.00160211439411391,0.000768690486834465,1.81808925601343e-06
0.01,0.119508756244124,0.00181293010869337,NA,NA,4.2230055654435e-07
0.0350030002933546,0.01,0.00150080412735562,1.31959680092349e-05,NA,7.19789014724787e-08
0.01,0.01,0.00139301569728066,4.89365564723367e-06,NA,8.2722415504143e-08
0.01,0.01,0.00169124172341581,8.66154565209145e-06,NA,3.31973692248084e-08
0.0461956882983969,0.01,0.001,1.42718125597814e-05,6.41753292017644e-07,1.01475731933246e-07
0.0385806660494283,0.0107463270884987,0.00123311936156007,1.14932230719967e-05,6.55266088481638e-07,1.023614221027e-07
0.01,0.01,0.00112501518112151,6.72700421981748e-06,NA,6.59750298404e-08
0.0985246730955152,0.0181260621873987,0.00113008708391623,6.1048199854751e-05,2.95106423400094e-06,2.31839971316246e-07
0.0388065160659297,0.0114824098086589,0.001,2.44556994289951e-05,1.39157100665808e-06,1.90839625163337e-07
0.01,0.01,0.00104796225958612,4.69792871293447e-05,1.26914321035474e-06,6.4753154434584e-07
0.0342246494500493,0.01,0.00183022327217973,1.20096631857055e-05,NA,1.16588058392187e-07
