,median_ratio,bias,uncertainity,rmsle
chl_insitu_saber_acc,0.181536527549309,8.00773798023354,79.1323671654188,0.917474754479611
chl_insitu_qaa_acc,0.271504078366278,13.1037198280695,83.5106419795987,0.958709250484024
chl_synth_saber_acc,0.825883522701088,69.3906532887008,129.002293875639,0.268175222149225
chl_synth_qaa_acc,1.13036964755063,128.777297243498,209.680101348784,0.352313391620678
adg443_insitu_saber_acc,-0.123874908670288,-5.15806789826379,53.078746244831,0.376132698540949
adg443_insitu_qaa_acc,-0.261176242645199,-12.4757478566045,80.6350661127098,0.489738285896457
adg443_synth_saber_acc,-0.0312380014973115,-1.18564657520891,17.6110105230103,0.0392136154600003
adg443_synth_qaa_acc,-0.283371129089131,-13.8397306016302,35.2944816865153,0.124876713092547
bbp555_insitu_saber_acc,0.142141449403394,6.02778154926619,21.4934745559705,0.00231016457215352
bbp555_insitu_qaa_acc,0.191546541480696,8.53429083740912,27.9515281354211,0.00322151180144208
bbp555_synth_saber_acc,0.150757859126157,6.44850121402724,16.9626904360394,0.00172470584217817
bbp555_synth_qaa_acc,0.929437101686894,86.611373840008,153.308290813722,0.017261674888082
H_saber_acc,0.0467066044596516,1.80039680757566,7.05033588000408,0.118289319358252
H_hope_acc,-0.065815378735429,-2.58592639262197,18.6713655809468,0.476428217967061
