H_actual,H_predicted,H_sd,bottom_cover,H_est,p_bias,H_CI,pd
5.28859495704956,5.4142358185842,1.80588092428754,100,6.45193327474858,2.37569453805793,2.77605258385517,below
5.25827782347382,5.42287953989224,2.08609713059852,100,6.44464662315049,3.13033510104037,2.81846886565877,below
5.28570577425232,3.48132193885603,1.80382342707414,75,6.45123886647301,34.1370464505571,0.0624472611447505,below
5.35087789495657,5.21054853645414,1.90244263551055,94.7368421052632,6.46690283207496,2.62254832304617,2.41560162346781,below
5.04594423755066,4.38917888176953,1.91609540676708,100,6.39361274623965,13.0157077617634,1.50703991068069,below
4.7993170229068,5.95674093099925,2.0259740702165,90,6.33433647649514,24.1164295371225,4.05300400985192,below
5.32503416651153,4.11138276180709,1.65535537101351,100,6.46069135285632,22.7914294397761,0.825184013446596,below
5.45888269190308,7.37931455828679,1.98892071803454,90,6.49286153045602,35.1799438597977,5.49778633764611,below
5.02558826507187,5.3591916333637,2.02782414612014,83.3333333333333,6.38872023623297,6.63809589437301,2.95288094039692,below
4.37093883399116,4.82206365870916,2.59312621649795,100,6.23137678846762,10.3210052085326,2.80486198004696,below
5.41213037377655,6.02786185645249,1.90077223354395,50,6.48162472098854,11.3768782374376,3.55700380070355,below
5.39018108365631,3.68249009259186,1.54663944855298,100,6.47634926084216,31.6815143046377,0.130880569121488,below
5.44273068894745,6.33090878192094,1.82750981664466,60,6.48897943461557,16.3186118096402,3.9724868375361,below
5.54797638560486,4.24473064607935,1.86255639040994,60,6.51427498974529,23.4904701993145,0.8027224413596,below
4.64794905087768,6.41162106281805,2.01269338251512,100,6.29795554118906,37.9451666237032,4.87000340338266,below
4.69132402496526,5.74681690533164,1.89713465547928,100,6.30838061397711,22.4988270848377,3.85025255577726,below
5.74860660357104,4.67117808274575,2.16182413272081,96,6.56249598975227,18.7424291680699,1.23297465352172,below
4.45352923271411,3.72033554334099,2.6637027185638,100,6.25122719613685,16.4632059443403,1.10441430640647,below
4.53443044766434,5.13937028088864,2.47163807760708,100,6.27067161246768,13.3410323569061,3.11107530640595,below
4.62982846337136,5.14173002738066,2.29305377726297,100,6.29360030069175,11.0565989228152,3.02105573251754,below
4.55632982864245,3.23156326631489,2.19394835411962,48,6.27593507706939,29.0752999047541,0.285189528892472,below
5.27741683472076,5.62476177359225,2.3615753668482,100,6.44924663939345,6.58172264480354,3.09647440966481,below
5.46219140671451,6.49498639615776,2.09824815494511,89.4736842105263,6.49365677226238,18.9080702696297,4.1946053454978,below
4.79622670216987,5.02723926791642,2.1429737354024,100,6.33359372518984,4.81654809273383,2.68969013111514,below
4.85072190971512,3.37602813276083,0.61565779218771,85,6.34669151987928,30.4015320688812,0.209050042223437,below
5.53278435365332,6.61439744548023,2.25673751692548,96,6.51062362067304,19.5491640861209,4.30095654573763,below
5.26279525213281,3.9115328134467,1.03752446420639,60,6.4457323764812,25.6757554483713,0.592403002932267,below
5.59695921595142,6.22517236785103,1.83142316460078,100,6.52604789756759,11.2241866996136,3.66591598580431,below
5.55400721122498,4.11783232263437,1.5953623672164,80,6.51572448446856,25.8583547692918,0.610275233115368,below
5.63599823990109,3.80135651584544,1.75557622716677,57.8947368421053,6.53543083495974,32.5522054117576,0.0647146140216645,below
3.88983100980347,4.3413572139188,1.66573740660544,95,6.1157436568851,11.6078617034353,2.56971349489706,below
5.56692244528809,6.45272542041447,2.03370696112072,100,6.51882863053469,15.9118971717692,4.02984832085767,below
5.12675963429117,7.0899859140831,2.05961979518154,100,6.41303653636604,38.2937063532406,5.39795566157216,below
3.75409736418976,4.49665391395115,2.31534059651043,90,6.08312039508318,19.7798958770919,2.93101197757965,below
5.60828264802246,7.13001674899098,1.85552630102414,95,6.52876945777677,27.1336913004037,4.98491602526979,below
