chl,adg.440,bbp550,chl.sd,adg440.sd,bbp550.sd
0.13710229,0.017640686,0.004975404,NA,NA,4.98E-06
0.040232409,0.008463769,0.003270497,NA,NA,3.64E-06
0.117526048,0.021915562,0.005044104,NA,NA,5.04E-06
0.956516922,0.106800024,0.016014559,0.007970613,0.00047815,NA
1.272857121,0.10646133,0.016207577,0.010083018,0.000531906,NA
0.944060547,0.111324841,0.014082181,0.009315345,0.000569088,NA
1.313556673,0.102549504,0.026454859,0.006439309,0.00033023,NA
1.523729002,0.181305442,0.042059275,0.00754466,0.000454363,NA
1.64504926,0.121423413,0.009262966,0.024716229,0.001239967,NA
0.932734653,0.157144303,0.050209794,0.004118391,0.000288006,NA
0.23647435,0.093563611,0.021811858,0.001816718,0.000204084,NA
0.068548755,0.061822115,0.00792565,0.001171843,0.000219774,NA
0.189632747,0.034721975,0.005201967,0.00216906,0.000188699,NA
0.128887938,0.026315126,0.003115294,0.001884151,0.000180182,NA
0.158328672,0.018613517,0.003527704,0.001541581,0.000114619,NA
0.150676806,0.022657891,0.003569303,0.001677526,0.000137766,NA
1.153452142,0.176386915,0.042969481,0.005776186,0.000379541,NA
1.79019744,0.173601126,0.043495749,0.007915498,0.000425523,NA
1.440495231,0.16338321,0.050617527,0.005797864,0.000334446,NA
1.004536633,0.129099679,0.039813588,0.00438947,0.00027368,NA
1.678616205,0.138043852,0.031879291,0.008059237,0.000409202,NA
1.594241893,0.151171065,0.040485502,0.006869523,0.000368551,NA
3.743791138,0.214264584,0.117951217,0.00908073,0.000379853,NA
0.80466612,0.153048011,0.037833957,0.004371775,0.00032085,NA
0.05,0.137812455,0.012935852,NA,NA,4.37E-07
0.085467774,0.043047106,0.008409032,0.000928129,0.000136725,NA
0.055048579,0.024610663,0.004675613,0.000652306,0.00010061,NA
0.061565281,0.017488865,0.002988993,0.000749673,9.38E-05,NA
0.036700085,0.016996542,0.002554987,0.000541856,9.01E-05,NA
0.06721778,0.013981639,0.002153407,0.000855765,9.17E-05,NA
0.051785636,0.013308411,0.001732196,0.00075759,9.11E-05,NA
0.120480283,0.013117546,0.002815701,0.001131109,8.56E-05,NA
0.108972838,0.012815928,0.002597496,0.001075979,8.48E-05,NA
0.143514682,0.013115377,0.002622939,0.001405145,9.59E-05,NA
0.102898002,0.012559991,0.002380211,0.001075789,8.68E-05,NA
0.09670037,0.013505116,0.002800927,0.000946171,8.19E-05,NA
0.098078515,0.011859764,0.002374209,0.000994084,8.08E-05,NA
0.101729219,0.013433477,0.002593714,0.001045623,8.73E-05,NA
0.032749058,0.018479545,0.002971642,0.000475797,8.79E-05,NA
0.07048418,0.01813776,0.002588195,0.000957077,0.000111237,NA
0.11467724,0.015416989,0.002820949,0.001203171,9.92E-05,NA
0.097412005,0.015050509,0.00280253,0.001031655,9.28E-05,NA
0.130454101,0.014787116,0.002831074,0.001312419,9.91E-05,NA
0.05,0.116927902,0.010722444,NA,NA,3.93E-07
0.165126789,0.014652362,0.003284214,0.001456614,9.71E-05,NA
0.12010233,0.013675486,0.002608329,0.001227315,9.40E-05,NA
0.005993259,0.08990418,0.015743294,0.000183199,0.00017188,NA
0.123302105,0.011396944,0.002386962,0.001198756,8.46E-05,NA
0.032154963,0.077671863,0.017209221,0.000468054,0.000146193,NA
1.736798412,0.208293773,0.097940439,0.005525444,0.00032226,NA
0.339544656,0.060908183,0.016475527,0.00207421,0.000165898,NA
0.09863924,0.032968643,0.004240261,0.001416327,0.000172157,NA
0.171407435,0.025659156,0.005309757,0.001509043,0.000123611,NA
0.183276431,0.018845876,0.0028945,0.002103835,0.000144298,NA
0.133590943,0.019202824,0.003285617,0.00143693,0.000119099,NA
0.164413637,0.020010805,0.003749306,0.001608659,0.000121269,NA
0.139049118,0.026411035,0.004863286,0.001377237,0.000127384,NA
0.083685548,0.033111412,0.003789101,0.001369623,0.000181437,NA
0.076184583,0.043833509,0.007380562,0.000959193,0.000150864,NA
0.657687574,0.072616093,0.030674848,0.002583155,0.000160306,NA
1.447751149,0.103774019,0.0626288,0.004034684,0.000197579,NA
1.467014708,0.10481448,0.07816074,0.00374859,0.000184337,NA
3.612658524,0.18630436,0.090391362,0.009350953,0.00037648,NA
0.163836674,0.021244794,0.0046156,0.001412871,0.000110254,NA
0.126662169,0.019018826,0.002878171,0.001490744,0.000124975,NA
0.085246622,0.012860874,0.002170225,0.000973173,8.69E-05,NA
0.176210555,0.018984502,0.003556536,0.001708555,0.00012051,NA
0.209625534,0.016935277,0.003335935,0.001980068,0.000121759,NA
0.170540846,0.019049309,0.004386623,0.001415314,0.000103494,NA
0.077328464,0.012367839,0.001745866,0.00100691,9.28E-05,NA
2.092244587,0.094509806,0.038031481,0.00668792,0.000264044,NA
0.580446209,0.069563667,0.015294586,0.003773873,0.000239999,NA
0.172851432,0.064567815,0.007033557,0.002751137,0.000314224,NA
0.386299884,0.03384749,0.004772659,0.00427485,0.000248553,NA
0.102425706,0.018202626,0.003457115,0.001055351,0.000100031,NA
0.047413854,0.007033945,0.001915694,0.000434044,4.39E-05,NA
0.075719535,0.007763742,0.002348626,0.000616923,5.04E-05,NA
0.049624125,0.009532261,0.00253042,0.000458503,5.14E-05,NA
0.040454514,0.008718743,0.002116547,0.000406797,4.89E-05,NA
0.060998619,0.008075718,0.001719886,0.000627239,5.72E-05,NA
0.033796166,0.007266526,0.001906199,0.000333022,4.14E-05,NA
0.042108875,0.006769747,0.001910322,0.000386193,4.14E-05,NA
4.197417042,0.114948643,0.060810643,0.010288219,0.000321241,NA
5.430726882,0.05222061,0.024240201,0.018939576,0.000392328,NA
0.427223275,0.035715508,0.006644755,0.003646523,0.000208203,NA
0.282079059,0.025790462,0.004530124,0.002758329,0.000172323,NA
0.230648671,0.016930603,0.003128103,0.002300237,0.000134107,NA
0.135907507,0.010484347,0.002594471,0.001195135,7.88E-05,NA
0.087582968,0.009910985,0.002150292,0.000859485,6.97E-05,NA
0.05749772,0.008842739,0.001717913,0.000630257,6.14E-05,NA
0.079749331,0.018799055,0.002202237,0.001201363,0.000128117,NA
0.831194135,0.053371868,0.009400494,0.006500342,0.000309891,NA
0.31549497,0.04039861,0.008947545,0.002323354,0.000164152,NA
0.177828015,0.014058877,0.004338527,0.001241623,8.01E-05,NA
0.116402773,0.011362009,0.002380571,0.00113823,8.31E-05,NA
0.104088839,0.009957416,0.002162161,0.00100896,7.44E-05,NA
0.056711838,0.007382056,0.001715364,0.000559851,5.18E-05,NA
0.07315428,0.011195245,0.002567574,0.000689398,6.45E-05,NA
0.146925484,0.015103751,0.004295499,0.001097159,8.07E-05,NA
2.597713467,0.114289576,0.043501064,0.008236498,0.000317118,NA
0.103302974,0.009689872,0.001953506,0.001053438,7.67E-05,NA
0.079916751,0.007946107,0.001935794,0.000743081,5.86E-05,NA
0.170736182,0.018793903,0.003317123,0.001761619,0.00012632,NA
0.485419731,0.029061462,0.005289698,0.004345357,0.000212154,NA
0.063790732,0.009103582,0.001925013,0.000658858,6.19E-05,NA
0.067636245,0.009566139,0.001929187,0.000714413,6.59E-05,NA
0.123640857,0.010242129,0.002386387,0.001126997,7.66E-05,NA
0.09258127,0.007167462,0.001938228,0.000812312,5.75E-05,NA
3.439475088,0.153121742,0.033881566,0.015278116,0.000601212,NA
1.933659798,0.11681365,0.014292538,0.016741458,0.000747796,NA
0.372776849,0.079344036,0.008485284,0.005067569,0.00041844,NA
0.23824462,0.023090522,0.004030065,0.002397317,0.000156436,NA
0.071245331,0.014810826,0.001743525,0.001085683,0.000113756,NA
0.075559764,0.011408474,0.001524564,0.001031039,9.41E-05,NA
0.100400928,0.008422774,0.001738573,0.001021709,7.19E-05,NA
5.463039543,0.183251968,0.025328266,0.034637427,0.00123434,NA
1.632026609,0.097261066,0.0137297,0.012940069,0.000576562,NA
0.768960414,0.058832181,0.007600661,0.007952735,0.000407546,NA
0.516710663,0.037073034,0.00503165,0.005687827,0.000293397,NA
0.42552113,0.031410236,0.004882035,0.004280316,0.000229049,NA
0.194684893,0.016644639,0.003104379,0.001940431,0.000123321,NA
0.098972948,0.01018065,0.002363515,0.000919055,7.07E-05,NA
0.102673753,0.009183233,0.001949911,0.001019452,7.34E-05,NA
0.104713093,0.010209507,0.002371245,0.000964431,7.17E-05,NA
0.092860119,0.010445276,0.002157567,0.000931689,7.42E-05,NA
2.755001976,0.109874373,0.032756492,0.010313043,0.000383144,NA
3.166516561,0.11863404,0.031146026,0.012749743,0.000459958,NA
3.790189786,0.107344721,0.025396779,0.017070924,0.000550997,NA
0.406718203,0.031374746,0.004339633,0.004587705,0.000250806,NA
3.721200444,0.094639406,0.018344018,0.021128549,0.000651555,NA
0.420763004,0.036014559,0.004175987,0.005442136,0.000307398,NA
0.980161028,0.057979884,0.009502807,0.008015252,0.000364611,NA
