chl,adg.440,bbp550,chl.sd,adg440.sd,bbp550.sd
0.01900587,0.008913429,1,NA,NA,2.15E-06
0.279268996,0.01949509,1,NA,NA,2.15E-06
2.049199374,0.023732169,1,NA,NA,2.11E-06
0.050114525,0.015698339,1,NA,NA,2.16E-06
0.109462589,0.016070497,1,NA,NA,2.14E-06
0.087443307,0.015985365,1,NA,NA,2.16E-06
0.184740371,0.017021318,1,NA,NA,2.11E-06
0.13710229,0.017640686,1,NA,NA,2.15E-06
0.040232409,0.008463769,1,NA,NA,2.14E-06
0.117526048,0.021915562,1,NA,NA,2.13E-06
0.956516922,0.106800024,0.009178096,0.007970613,0.00047815,7.40E-07
1.272857121,0.10646133,0.008818985,0.010083018,0.000531906,4.76E-07
0.944060547,0.111324841,0.008075989,0.009315345,0.000569088,7.27E-07
1.313556673,0.102549504,0.014158138,0.006439309,0.00033023,8.57E-07
1.523729002,0.181305442,0.022160908,0.00754466,0.000454363,1.42E-06
1.64504926,0.121423413,0.005712059,0.024716229,0.001239967,1.08E-06
0.932734653,0.157144303,0.026927513,0.004118391,0.000288006,7.15E-07
0.23647435,0.093563611,0.012837164,0.001816718,0.000204084,7.63E-07
0.068548755,0.061822115,0.005074212,0.001171843,0.000219774,3.32E-07
0.189632747,0.034721975,0.00326828,0.00216906,0.000188699,2.76E-07
0.128887938,0.026315126,0.001987519,0.001884151,0.000180182,2.60E-07
0.158328672,0.018613517,0.002055768,0.001541581,0.000114619,2.50E-07
0.150676806,0.022657891,0.002088437,0.001677526,0.000137766,2.61E-07
1.153452142,0.176386915,0.023877286,0.005776186,0.000379541,7.00E-07
1.79019744,0.173601126,0.023683133,0.007915498,0.000425523,9.91E-07
1.440495231,0.16338321,0.026728113,0.005797864,0.000334446,8.42E-07
1.004536633,0.129099679,0.02108876,0.00438947,0.00027368,6.72E-07
1.678616205,0.138043852,0.017529671,0.008059237,0.000409202,9.18E-07
1.594241893,0.151171065,0.022142381,0.006869523,0.000368551,9.35E-07
3.743791138,0.214264584,0.064062386,0.00908073,0.000379853,2.18E-06
0.80466612,0.153048011,0.021563751,0.004371775,0.00032085,1.01E-06
0.05,0.137812455,0.013013108,NA,NA,3.84E-07
0.085467774,0.043047106,0.005330281,0.000928129,0.000136725,2.65E-07
0.055048579,0.024610663,0.003140903,0.000652306,0.00010061,2.20E-07
0.061565281,0.017488865,0.002022958,0.000749673,9.38E-05,2.17E-07
0.036700085,0.016996542,0.001751065,0.000541856,9.01E-05,2.06E-07
0.06721778,0.013981639,0.001418302,0.000855765,9.17E-05,2.16E-07
0.051785636,0.013308411,0.001133964,0.00075759,9.11E-05,2.15E-07
0.120480283,0.013117546,0.001683598,0.001131109,8.56E-05,2.31E-07
0.108972838,0.012815928,0.001520653,0.001075979,8.48E-05,2.26E-07
0.143514682,0.013115377,0.00151005,0.001405145,9.59E-05,2.37E-07
0.102898002,0.012559991,0.001468127,0.001075789,8.68E-05,2.26E-07
0.09670037,0.013505116,0.001719372,0.000946171,8.19E-05,2.25E-07
0.098078515,0.011859764,0.001467632,0.000994084,8.08E-05,2.23E-07
0.101729219,0.013433477,0.001543521,0.001045623,8.73E-05,2.23E-07
0.032749058,0.018479545,0.002032503,0.000475797,8.79E-05,2.08E-07
0.07048418,0.01813776,0.001697872,0.000957077,0.000111237,2.24E-07
0.11467724,0.015416989,0.00169288,0.001203171,9.92E-05,2.31E-07
0.097412005,0.015050509,0.001769138,0.001031655,9.28E-05,2.26E-07
0.130454101,0.014787116,0.001712567,0.001312419,9.91E-05,2.38E-07
0.05,0.116927902,0.010779,NA,NA,3.72E-07
0.165126789,0.014652362,0.001936118,0.001456614,9.71E-05,2.44E-07
0.12010233,0.013675486,0.001581246,0.001227315,9.40E-05,2.33E-07
0.005993259,0.08990418,0.009765308,0.000183199,0.00017188,3.34E-07
0.123302105,0.011396944,0.001436143,0.001198756,8.46E-05,2.30E-07
0.032154963,0.077671863,0.010214369,0.000468054,0.000146193,2.97E-07
1.736798412,0.208293773,0.051499271,0.005525444,0.00032226,1.55E-06
0.339544656,0.060908183,0.009478426,0.00207421,0.000165898,3.57E-07
0.09863924,0.032968643,0.00262698,0.001416327,0.000172157,2.63E-07
0.171407435,0.025659156,0.003169565,0.001509043,0.000123611,2.60E-07
0.183276431,0.018845876,0.001799654,0.002103835,0.000144298,2.62E-07
0.133590943,0.019202824,0.002050055,0.00143693,0.000119099,2.48E-07
0.164413637,0.020010805,0.002311844,0.001608659,0.000121269,2.57E-07
0.139049118,0.026411035,0.002903921,0.001377237,0.000127384,2.59E-07
0.083685548,0.033111412,0.002286772,0.001369623,0.000181437,2.58E-07
0.076184583,0.043833509,0.004631062,0.000959193,0.000150864,2.66E-07
0.657687574,0.072616093,0.017270451,0.002583155,0.000160306,4.77E-07
1.447751149,0.103774019,0.034281183,0.004034684,0.000197579,8.50E-07
