,H_actual,H_predicted,H_sd,H_CI
21,2.53737794645642,2.53589679536584,0.548603993247998,0.00145150139660267
22,2.3117609336281,2.33919684309013,1.32983469915715,0.0268866972143413
23,2.43059796282927,2.3995423844794,1.14184028787175,0.0304339075424079
24,1.94773733681181,1.94923478348322,0.406253485773673,0.00146747077236774
25,2.25414220260045,2.22740736022496,0.561880774873314,0.0261996640941566
26,2.48122587271948,2.50976547152984,1.32951530085252,0.0279682929007602
27,2.21145044451427,2.25701696786063,0.617676168907481,0.0446543723297924
28,2.55591402005242,2.6113973296848,0.74167647676501,0.0543726443112788
29,1.84961948421957,1.82766662635241,0.628175765388917,0.0215134053886843
30,1.80145294317051,1.7785174597261,0.52021773745434,0.02247636075953
31,2.12110496610463,2.16401768230253,0.634561452741171,0.042053689113341
32,2.43400884285418,2.45754497300369,0.023064983714249,0.023064983714249
33,2.84191351377063,2.86853565425304,1.91109599598112,0.0260892182684458
34,1.93413616468036,1.9501901322312,0.44875633838442,0.0157325991043155
35,2.20672645074174,2.21117999809216,0.00436439620512949,0.00436439620512949
36,2.23644507073836,2.25588265960725,0.957960213070836,0.0190484870646658
37,1.98334337030752,2.01067641759901,0.653509189456826,0.0267858941395338
38,2.67443202708414,2.70936984179011,0.117617214570984,0.0342384292611219
39,1.80205686889174,1.84180275955423,0.370115727315216,0.0389502571159685
40,2.89939426621783,2.91386314837626,0.014179243963533,0.014179243963533
41,2.13074718489765,2.0906092145362,0.773233196105191,0.0393344881604838
42,2.87107513411427,2.90427590819478,0.560847477737043,0.0325361607283164
43,2.19411312616041,2.41033036177278,0.563236085002126,0.211888997318523
44,2.58315896035312,2.62539324522691,1.82313617589739,0.0413888386327179
45,3.04292699853386,3.07041720181535,0.203186141298814,0.0269399041796983
46,2.32051623759054,2.3228023253543,0.813573677976758,0.00224032484124023
47,2.93120978951666,2.88715040030971,0.780283731991573,0.043177408013227
48,2.75817860657891,2.77414335425426,0.0156451652329768,0.0156451652329768
49,2.68150277646634,2.71985384400957,1.36626353292531,0.0375833555766914
50,2.44948934345739,2.52455464340154,0.676029728165877,0.0735626421896186
51,2.36232276935551,2.32694911159158,0.0346655476093793,0.0346655476093793
52,2.75591137259613,2.7888419841923,0.0322714063586852,0.0322714063586852
53,2.19295637557481,2.18054090992355,0.784108533439812,0.0121669327638841
54,2.16362020889227,2.16802073266145,0.967880972235655,0.00431243405034956
55,3.04057006721535,3.08104917725813,0.0396687989050422,0.0396687989050422
56,2.80929783623504,2.83402099080191,1.72867105483496,0.0242282462676496
57,3.25034236548827,3.25820037622379,1.18355892601144,0.00770070901587736
58,3.22392249637768,3.28241962850859,0.288028618404152,0.0573261360877311
59,2.74679694210264,2.75228154052881,0.397091788337917,0.00537480769248478
60,3.09531199547636,3.10001924859083,7.04925139159005,0.00461302328523636
61,2.43653309743818,2.45540524850207,0.976447752291683,0.0184943681980108
62,2.72186875265099,2.71936537202237,0.933594392728733,0.00245326793584706
63,2.7440881769142,2.7731211795986,1.70646562558614,0.0284518198122375
64,2.97272965842496,3.01301456934579,4.7622792331437,0.0394784872626126
