clust_id,rrs_type,inv_model,var,median_ratio,bias,uncertainity,rmsle,R_square,slope
1,insitu,SABER,chl,-0.125190421,-5.219707008,177.0637388,1.151377217,0.780181316,2.014305983
2,insitu,SABER,chl,-0.212937886,-9.692508814,82.70036636,0.843980147,0.760254025,1.505187432
3,insitu,SABER,chl,0.038388363,1.467496143,63.61067147,0.836421895,0.715340768,1.405241461
4,insitu,SABER,chl,0.183594443,8.115197694,68.20905343,0.805090675,0.659946491,1.294827742
5,insitu,SABER,chl,0.171984091,7.514248177,69.16281294,0.837863931,0.631162087,1.110933323
6,insitu,SABER,chl,0.268108185,12.89595459,82.50665255,0.923595038,0.564794285,0.949884237
7,insitu,SABER,chl,0.288869777,14.18607248,100.9871604,1.037949638,0.453731334,0.9518464
8,insitu,SABER,chl,0.339125904,17.51245335,100.6076338,1.107560374,0.496342591,0.909403567
1,insitu,QAA,chl,-0.295215164,-14.5899733,154.4226209,1.642266746,0.696414491,2.441774576
2,insitu,QAA,chl,-0.34876793,-18.18486365,95.63961464,1.109335622,0.756362701,1.715694934
3,insitu,QAA,chl,-0.064186687,-2.517830004,80.91001204,1.007472901,0.756485936,1.54388731
4,insitu,QAA,chl,0.149876016,6.405130521,77.21911464,0.999415514,0.690122745,1.495151175
5,insitu,QAA,chl,0.268591112,12.92542385,85.02600709,0.939245699,0.76126751,1.422205836
6,insitu,QAA,chl,0.412802549,22.94699168,86.97543725,0.991760486,0.746339343,1.246261291
7,insitu,QAA,chl,0.385621903,20.86126676,83.88086363,0.970906391,0.69884083,1.283128277
8,insitu,QAA,chl,0.399451308,21.91032724,79.00690242,1.026935089,0.755108507,1.201488704
1,synthetic,SABER,chl,1.082430354,117.5436061,196.6235997,0.053842997,0.406481271,0.492523604
2,synthetic,SABER,chl,0.676106839,48.9046682,96.62080483,0.074403814,0.613435624,0.843401813
3,synthetic,SABER,chl,0.491214229,29.53303542,64.09875402,0.173923405,0.708308456,1.005875639
4,synthetic,SABER,chl,0.522888736,32.44908818,68.68936089,0.48033533,0.373720334,0.940419232
5,synthetic,SABER,chl,1.178012176,140.7535914,224.7911504,1.04636151,0.164077273,0.834770827
6,synthetic,SABER,chl,0.693147181,50.99891949,100,0.829308971,0.000665991,0.009128726
7,synthetic,SABER,chl,0.182321557,8.048682291,20,0.307409385,0.003176531,-6.73E-07
1,synthetic,QAA,chl,0.89545235,80.65624763,144.8443093,0.042270309,0.600124608,0.750562598
2,synthetic,QAA,chl,0.949807029,90.33100649,159.5688509,0.109133274,0.287125997,0.644242116
3,synthetic,QAA,chl,0.773113117,61.61796064,120.4932002,0.271959387,0.408233335,1.182559597
4,synthetic,QAA,chl,0.888621306,79.49605357,143.1774665,0.657518271,0.631736221,1.684294189
5,synthetic,QAA,chl,1.171901352,139.1703963,222.8124608,1.091875541,0.561200916,1.487933857
6,synthetic,QAA,chl,1.145043252,132.3772564,214.2577278,1.17851629,0.258010941,0.88164657
7,synthetic,QAA,chl,1.091239315,119.5486662,197.7962419,1.074553224,0.038990837,-4.342194374
1,insitu,SABER,adg443,-0.147552196,-6.291182733,46.8289343,0.156590871,0.848116034,1.42268649
2,insitu,SABER,adg443,-0.133790338,-5.626452712,50.00401941,0.166055357,0.812910517,1.334317911
3,insitu,SABER,adg443,-0.168707452,-7.346973948,53.14502572,0.313277961,0.77044211,1.077920179
4,insitu,SABER,adg443,-0.106248336,-4.346810625,46.68964609,0.248569176,0.693338682,1.063144597
5,insitu,SABER,adg443,-0.063247099,-2.478643092,44.2951316,0.360993153,0.617946211,0.987888043
6,insitu,SABER,adg443,-0.146270955,-6.22856907,57.34253189,0.427346635,0.42143174,0.885369052
7,insitu,SABER,adg443,-0.109914502,-4.513316353,63.17263538,0.461613287,0.340685317,0.850481703
8,insitu,SABER,adg443,-0.176662536,-7.75485253,70.54399399,0.453256047,0.309089225,1.023009759
1,insitu,QAA,adg443,-0.299509635,-14.86591677,59.03529923,0.364136348,0.391235682,2.071151725
2,insitu,QAA,adg443,-0.256972514,-12.22345384,58.69188623,0.16595777,0.787877716,1.282679352
