clust_id,rrs_type,inv_model,var,median_ratio,bias,uncertainity,rmsle,R_square,slope
1,insitu,SABER,bbp555,0.28692991,14.06349997,35.76926291,0.00111715,0.974273078,0.552210497
2,insitu,SABER,bbp555,0.192478591,8.583814783,22.0758439,0.001620152,0.728574328,1.100407693
3,insitu,SABER,bbp555,0.121522298,5.04821631,18.9662283,0.001405692,0.48778185,0.960784238
4,insitu,SABER,bbp555,0.106299698,4.349135343,20.92305118,0.00328487,0.247288934,0.941515563
5,insitu,SABER,bbp555,0.167602563,7.290797624,27.73479084,0.004096972,0.696377497,0.770843893
6,insitu,SABER,bbp555,0.189653278,8.433954284,20.88303964,0.006095242,0.854799945,0.885729814
7,insitu,SABER,bbp555,1.425128988,218.0144843,315.8394193,0.013980489,NA,NA
1,insitu,QAA,bbp555,0.424629355,23.88524595,52.90235894,0.00244793,0.854582569,0.860291311
2,insitu,QAA,bbp555,0.320150817,16.22183075,48.97234315,0.002883681,0.597378158,1.065694184
3,insitu,QAA,bbp555,0.170887309,7.458143651,25.56947914,0.002863067,0.678520909,1.006387133
4,insitu,QAA,bbp555,0.125624347,5.240072519,17.08101378,0.00422748,0.616886783,1.151861452
5,insitu,QAA,bbp555,0.219335905,10.04781482,27.03900435,0.004069036,0.700861405,1.855359553
6,insitu,QAA,bbp555,0.056090586,2.182505383,5.769349113,0.000835304,0.949626625,1.435961092
7,insitu,QAA,bbp555,-0.286552838,-14.03972326,33.18285366,0.001248336,NA,NA
1,synthetic,SABER,bbp555,0.308119785,15.42552048,36.08639904,0.000280994,0.862386355,0.517310621
2,synthetic,SABER,bbp555,0.116129284,4.798235678,12.39799555,0.00016665,0.95628636,0.722279669
3,synthetic,SABER,bbp555,-0.022739872,-0.855794208,5.701019557,0.000248706,0.977354511,0.881965846
4,synthetic,SABER,bbp555,-0.044463275,-1.710082737,6.086630066,0.000601125,0.983773031,0.978086032
5,synthetic,SABER,bbp555,0.064584948,2.534461618,8.842778904,0.002666834,0.984075562,1.060052218
6,synthetic,SABER,bbp555,0.107023497,4.381919247,13.120277,0.008598418,0.961796644,1.028879456
7,synthetic,SABER,bbp555,0.000294149,0.010824316,4.838850783,0.008333308,0.950922099,1.072087563
1,synthetic,QAA,bbp555,-0.063334029,-2.482265622,7.743320237,6.95E-05,0.987795455,0.859531374
2,synthetic,QAA,bbp555,-0.118016216,-4.885409759,12.53270835,0.000144899,0.985887869,0.988948607
3,synthetic,QAA,bbp555,-0.090989195,-3.666160271,10.35945952,0.000330469,0.981625042,1.114967806
4,synthetic,QAA,bbp555,0.194284654,8.680020854,22.03698079,0.003261356,0.961901231,1.162589774
5,synthetic,QAA,bbp555,0.60942778,41.23812277,83.93785685,0.021478852,0.947079529,1.080501171
6,synthetic,QAA,bbp555,0.76797266,60.89442944,115.5392108,0.069724476,0.925008563,1.060193435
7,synthetic,QAA,bbp555,0.267554505,12.86219922,35.1982686,0.035372876,0.793033949,1.183351653
