,H,fa1,fa2,fa3,sigma_pop,sd_H,sd_fa1,sd_fa2,sd_fa3,sd_sigma_pop
368,6.46247662717301,0.00763561362629462,0.614376451714334,0.284989360765299,0.364238949889178,0.0543977250403738,NA,NA,0.0278745000464322,NA
369,7.35244907043449,0.318351850943586,0.381705409341543,0.263162500197312,0.000364753880819082,NA,NA,NA,NA,NA
370,7.26563081519665,0.642373372790072,0.140213409800813,0.245417645100658,0.00341217877266025,NA,NA,NA,0.00138519049754012,NA
371,8.02694994390909,0.356692836686665,0.358404811940338,0.256885208745885,0.000940297410403424,NA,NA,NA,0.000354108422851299,NA
372,7.42903197663666,0.370812399043187,0.34415087657858,0.259054824669635,0.000359068441830113,NA,NA,NA,NA,NA
373,7.76711071894515,0.226114616814985,0.457098179628794,0.263052523479502,0.00339686746429851,NA,NA,NA,0.00112948244230445,NA
374,7.99312309885651,0.474083227260741,0.271962220359269,0.249825299015791,0.00181845110239305,NA,NA,NA,0.000541904862871828,NA
375,6.78239441328767,0.373303119314992,0.3412930645573,0.260822119151048,0.000461790245815082,NA,NA,NA,NA,NA
376,7.29113469561559,0.370821752026894,0.344116533675208,0.259298360582052,0.000191462777078101,NA,NA,NA,NA,NA
377,7.77558436716271,0.360186269798171,0.35185930282031,0.259503242732178,0.000192552602570161,NA,NA,NA,NA,NA
378,8.01563936019256,0.485351104840599,0.262957211556377,0.248709617363247,0.00149075793877264,0.00117391988747965,0.00245472671725846,0.00156006879288348,0.000308829707562966,NA
379,7.96125259379075,0.106445960695221,0.557708840319396,0.26277962451007,0.00655711563545569,NA,NA,NA,0.0041716325548582,NA
380,8.11796410705731,0.371944675521149,0.342795029036815,0.25866319401644,0.000127628330144395,NA,NA,NA,NA,NA
381,6.90102279941296,0.386027227866125,0.331771091337783,0.260000856032369,0.000179072388398106,NA,NA,NA,NA,NA
382,6.53008179488371,0.444374823666056,0.29184654311663,0.252817188380718,0.000277729055585371,NA,NA,NA,0.000469753477397819,NA
383,7.899687063963,0.764276180340463,0,0.273949390777878,0.0551647822620707,0.00623907534166575,NA,NA,0.00898522772534453,NA
384,7.91768512742872,0.472916490691789,0.270886590103816,0.251271792247769,0.000109423869486715,NA,0.00666283558056334,0.00452404342343845,0.00061562681690021,NA
