C_ph,abs_CDOM_440,abs_X_440
-9.39682753293585e-06,-0.00117693315708201,-0.00106920142252715
-1.26788920351353e-05,-0.0012033112438918,-0.00111971828971833
-1.64823408712998e-05,-0.00121761082279749,-0.00116054601471953
-2.10410014845205e-05,-0.00121153577059723,-0.00118280505969461
-2.55034649146944e-05,-0.00122429906701486,-0.00122429906701486
-2.95627294185409e-05,-0.00128582925966258,-0.00131706246113285
-3.44648380090897e-05,-0.00135324608535299,-0.00141978608218507
-3.95868131125307e-05,-0.00145272046149191,-0.00156117380737313
-4.46298624733976e-05,-0.0015707033509015,-0.00172896595035054
-5.14163770801712e-05,-0.0016581608760013,-0.00186957116710357
-5.92411575697028e-05,-0.00176136997219903,-0.00203417819012563
-6.4901087238895e-05,-0.00184149496675221,-0.00217837181449487
-7.02107809793154e-05,-0.00193253489772777,-0.00234159555858252
-7.69888237176298e-05,-0.0020749708179171,-0.00257525121847389
-8.19377995403835e-05,-0.00217380265539351,-0.00276344477863541
-8.02119599732273e-05,-0.00219820314520944,-0.00286234229657453
-7.76536413337163e-05,-0.00231166081882582,-0.00308319450176479
-7.43614130688179e-05,-0.00225867925089724,-0.00308570525866158
-6.42939850374759e-05,-0.00180614840361577,-0.00252741394577951
-4.26638142066236e-05,-0.00111732087022506,-0.00160148886879573
-2.14390366756015e-05,-0.000529849784435446,-0.000777896545795085
-1.89489663720772e-05,-0.000355224021652849,-0.000534188427581202
-2.04882268168426e-05,-0.000286750284534547,-0.000441691532551007
-2.00677345942221e-05,-0.000228022995689624,-0.00035976336006399
-1.79664101956655e-05,-0.00018169346322077,-0.000293630154956863
-1.62210364864619e-05,-0.000135440684497785,-0.000224198942015274
-1.68869876943465e-05,-7.63756174920962e-05,-0.000129497749480804
-1.97517773204651e-05,-5.11943286222963e-05,-8.89103676152735e-05
-1.66910800064164e-05,-4.22687847454781e-05,-7.51923024255508e-05
-8.50539579086552e-06,-3.66605798295657e-05,-6.67999317406687e-05
-2.26899445307304e-06,-2.47716987035542e-05,-4.62333694677842e-05
-5.32680403392202e-07,-1.2633380870377e-05,-2.41514057192224e-05
-1.06289125478154e-07,-4.65329362558051e-06,-9.11184554653177e-06
5.41327097402341e-09,-1.6703928921186e-06,-3.35033005042854e-06
2.73579945175243e-08,-7.26100830806625e-07,-1.49172566108525e-06
4.90792092098853e-08,-5.95679017599803e-07,-1.25350882882863e-06
7.15462946328709e-08,-5.12164468709095e-07,-1.10394543567071e-06
9.66704424424099e-08,-4.55225440723138e-07,-1.00505020087088e-06
1.31806963673879e-07,-4.33996990351816e-07,-9.81456408319462e-07
1.87357002862443e-07,-4.48532547475036e-07,-1.03896598098267e-06
2.61932553074779e-07,-4.68470106947658e-07,-1.11150729186822e-06
