C_ph,abs_CDOM_440,abs_X_440
-1.89149856463953e-07,-2.36906271770402e-05,-2.15220823084403e-05
-2.72154071198086e-07,-2.58292327938488e-05,-2.40348991297763e-05
-3.81410270262906e-07,-2.81761720998558e-05,-2.68556616188831e-05
-5.3330727688392e-07,-3.07077038676134e-05,-2.99794924654287e-05
-6.99830051513225e-07,-3.35954852410246e-05,-3.35954852410246e-05
-8.51706457776507e-07,-3.70449246599591e-05,-3.79447576561836e-05
-1.04225008550029e-06,-4.09234724326894e-05,-4.29357063903576e-05
-1.23793435995023e-06,-4.54285766720215e-05,-4.88200626938006e-05
-1.4366759387163e-06,-5.05623720540553e-05,-5.56569893355372e-05
-1.7395330390029e-06,-5.60993557225686e-05,-6.32518469528275e-05
-2.09792402867019e-06,-6.23758977651089e-05,-7.20369330838989e-05
-2.43897162632367e-06,-6.92030621520134e-05,-8.18628357885525e-05
-2.7933214127823e-06,-7.68855015636756e-05,-9.31598954267645e-05
-3.18636530024092e-06,-8.58775948762753e-05,-0.000106582887303801
-3.59961488099319e-06,-9.54974679645927e-05,-0.000121401075007834
-3.84652372237601e-06,-0.000105413713210248,-0.00013726216824784
-3.94335971781402e-06,-0.000117389345787817,-0.000156568897370766
-4.23010014628893e-06,-0.00012848652325633,-0.000175532466737676
-4.73933614460188e-06,-0.000133137561885171,-0.0001863045860141
-4.78967846075065e-06,-0.000125436691617537,-0.00017979209976055
-4.10329030691486e-06,-0.000101409756300717,-0.00014888427145498
-4.78864177209001e-06,-8.97695713389022e-05,-0.000134996124234612
-6.08774233431468e-06,-8.52031687340897e-05,-0.000131241432724117
-6.95513619074225e-06,-7.90288999585928e-05,-0.000124687874156185
-7.14866311551588e-06,-7.2294094630547e-05,-0.000116832635762138
-7.46264000543334e-06,-6.23107574747157e-05,-0.000103144826488455
-9.48283482866642e-06,-4.2888487794506e-05,-7.27190539388857e-05
-1.25015246253625e-05,-3.24025098889412e-05,-5.62741839460044e-05
-1.12328971221876e-05,-2.84463863538683e-05,-5.06035197963186e-05
-5.9939368689749e-06,-2.58355056579995e-05,-4.70753605770362e-05
-1.72340329869523e-06,-1.88152188746737e-05,-3.5116322714082e-05
-4.41230984779739e-07,-1.04645093888122e-05,-2.00051446635657e-05
-9.52771805579383e-08,-4.17119526535817e-06,-8.16782478402635e-06
5.0870005112525e-09,-1.56971441795094e-06,-3.14839784691719e-06
2.63210771717169e-08,-6.98580299439232e-07,-1.43518656746951e-06
4.74936486193707e-08,-5.76434918314022e-07,-1.21301277702076e-06
6.95318596680779e-08,-4.97744127043795e-07,-1.07286309526091e-06
9.42605470671485e-08,-4.43877135526815e-07,-9.7999532608403e-07
1.28796844910316e-07,-4.24085659056604e-07,-9.59042567138724e-07
1.83279423398429e-07,-4.38770824792757e-07,-1.01635424892495e-06
2.56472277012645e-07,-4.58704325334169e-07,-1.0883366832996e-06
