C_ph,abs_CDOM_440,abs_X_440
-1.56270006170599e-07,-1.55705937962274e-05,-1.41453241726953e-05
-2.27530900843502e-07,-1.70713481022163e-05,-1.58854168422603e-05
-3.22403677238842e-07,-1.87454853342704e-05,-1.78669554272589e-05
-4.55544986815278e-07,-2.05991295076001e-05,-2.01106357717225e-05
-6.02823613506458e-07,-2.27048212981846e-05,-2.27048212981846e-05
-7.35003686449367e-07,-2.51531907093027e-05,-2.57641697075951e-05
-9.01759782006464e-07,-2.79283454877064e-05,-2.93016005374652e-05
-1.07182146384901e-06,-3.11159006780774e-05,-3.34388689490547e-05
-1.24657479544346e-06,-3.47264670041748e-05,-3.82254733153332e-05
-1.50682518214233e-06,-3.87308919057986e-05,-4.36689586826491e-05
-1.78797312302658e-06,-4.32723174354381e-05,-4.9974511745233e-05
-2.03223149280102e-06,-4.81991380862341e-05,-5.70165250438755e-05
-2.29491011508994e-06,-5.37331560937951e-05,-6.51068810223245e-05
-2.59945348651194e-06,-6.01665424835394e-05,-7.46728390125657e-05
-2.93168834044839e-06,-6.71226641537262e-05,-8.53296297727334e-05
-3.13073425293672e-06,-7.42750323646151e-05,-9.67156139231269e-05
-3.18890404361503e-06,-8.26451228934819e-05,-0.000110228536309356
-3.41097521376926e-06,-9.08817664001514e-05,-0.000124158551678376
-3.87326546251926e-06,-9.57855547781512e-05,-0.000134036464814232
-4.03440246059933e-06,-9.29738917398778e-05,-0.000133262213816916
-3.62069430822307e-06,-7.86939415906269e-05,-0.000115534151634268
-4.38044832509385e-06,-7.23812330946501e-05,-0.000108847416662058
-5.74323257300545e-06,-7.08635001493329e-05,-0.000109153537663243
-6.75445821316512e-06,-6.76175962998758e-05,-0.00010668368587441
-7.11943495847598e-06,-6.32514985041728e-05,-0.000102219127632936
-7.65518354438612e-06,-5.60761061379258e-05,-9.28244250616202e-05
-1.04174720530764e-05,-4.12652229106322e-05,-6.99667469045808e-05
-1.48076567328645e-05,-3.33507583098737e-05,-5.79210287814496e-05
-1.33308471296839e-05,-2.92665491441147e-05,-5.20625143932472e-05
-6.66239158093496e-06,-2.52806754554522e-05,-4.60643940339504e-05
-1.83292922742019e-06,-1.79171140009082e-05,-3.34401189564583e-05
-4.71950714596057e-07,-1.00346104870262e-05,-1.91833010967634e-05
-1.05997316718011e-07,-4.06141339692038e-06,-7.95285545058137e-06
3.37860353962768e-09,-1.54366470472084e-06,-3.09614957799098e-06
2.73219625939625e-08,-6.90522972656009e-07,-1.41863332773705e-06
5.02393981464668e-08,-5.70060250057331e-07,-1.19959833282426e-06
7.40339060605638e-08,-4.92263544376318e-07,-1.06104996766182e-06
1.00668371122763e-07,-4.38865632502048e-07,-9.68930891473991e-07
1.37714288613359e-07,-4.18947533459953e-07,-9.47423025055044e-07
1.95929332643464e-07,-4.32782035999175e-07,-1.00248201633258e-06
2.73906922088934e-07,-4.51564813733284e-07,-1.07139724770473e-06
