C_ph,abs_CDOM_440,abs_X_440
-1.49915253319003e-07,-1.8776574515714e-05,-1.70578422925589e-05
-2.15949873530552e-07,-2.04950803442623e-05,-1.9071305472469e-05
-3.03065982497079e-07,-2.23885929305561e-05,-2.13393243672376e-05
-4.24515099206629e-07,-2.4443476619962e-05,-2.38638169208705e-05
-5.57965526153366e-07,-2.67852495878875e-05,-2.67852495878875e-05
-6.79732600273684e-07,-2.95649313635523e-05,-3.02830729447874e-05
-8.32646629898663e-07,-3.26934887114673e-05,-3.43010489762533e-05
-9.89662456499387e-07,-3.63177226830598e-05,-3.90290347655778e-05
-1.14922699505076e-06,-4.04458941173894e-05,-4.45211845510571e-05
-1.39300296819648e-06,-4.49238774333612e-05,-5.06515303668525e-05
-1.6816967663738e-06,-5.00005453666201e-05,-5.77448352614886e-05
-1.95776424792335e-06,-5.55493468910286e-05,-6.57113561349729e-05
-2.24521993862536e-06,-6.1799140017343e-05,-7.48801959328003e-05
-2.56346500439093e-06,-6.90894446753949e-05,-8.57470741504679e-05
-2.90017765606743e-06,-7.69414595612265e-05,-9.78117650916979e-05
-3.10626664690271e-06,-8.51270199027653e-05,-0.000110846292882458
-3.18922897918272e-06,-9.49397291204623e-05,-0.000126626557165912
-3.43240642681396e-06,-0.000104257098634157,-0.000142431324580691
-3.87879169970995e-06,-0.000108963123569114,-0.000152476351075556
-3.98646131218588e-06,-0.000104401270849303,-0.000149641412425787
-3.50996676457973e-06,-8.67462079443442e-05,-0.000127356049776687
-4.1686882635341e-06,-7.81477037276144e-05,-0.000117519076494587
-5.36062388776242e-06,-7.50265232242998e-05,-0.000115565988290841
-6.19742249472422e-06,-7.04192511698932e-05,-0.000111103997811496
-6.443525306254e-06,-6.51630690546304e-05,-0.000105308367867516
-6.81498829004979e-06,-5.69030640932895e-05,-9.41933128472301e-05
-8.83237951722319e-06,-3.99466412697334e-05,-6.77310418378328e-05
-1.17953199799116e-05,-3.05721089023756e-05,-5.30952844667361e-05
-1.06723061435208e-05,-2.70267358939573e-05,-4.80780914604206e-05
-5.72551006246283e-06,-2.46785127783619e-05,-4.49671820991306e-05
-1.66120278324222e-06,-1.81361460695723e-05,-3.38489157320459e-05
-4.29997873396047e-07,-1.01980979091223e-05,-1.94958422210709e-05
-9.38293795554379e-08,-4.1078111407289e-06,-8.04370917899572e-06
5.04231963613551e-09,-1.55592707632936e-06,-3.12074438576547e-06
2.61761437954758e-08,-6.94733663501321e-07,-1.42728391084941e-06
4.72708647107272e-08,-5.73730968882598e-07,-1.20732275876453e-06
6.9247696802519e-08,-4.95709945905378e-07,-1.06847851741477e-06
9.39195361122614e-08,-4.42271299675569e-07,-9.76449949440982e-07
1.28369994403101e-07,-4.22680180694173e-07,-9.55864167803642e-07
1.82700488108801e-07,-4.37384854072087e-07,-1.0131438321168e-06
2.55696171783237e-07,-4.5731625006229e-07,-1.08504329112052e-06
