C_ph,abs_CDOM_440,abs_X_440
-1.04012519698088e-06,-9.06657950519242e-05,-8.23666122929333e-05
-1.51187399265782e-06,-9.88662307552186e-05,-9.19980822701309e-05
-2.13338911256746e-06,-0.000107829310387047,-0.000102775758967162
-2.99309316836341e-06,-0.000117501899292897,-0.000114715425149069
-3.931281288648e-06,-0.000128478367831479,-0.000128478367831479
-4.75741218922518e-06,-0.000141501407758057,-0.000144938521934471
-5.79789407631136e-06,-0.000156297562168247,-0.000163982815725677
-6.85179804009222e-06,-0.000173438596329619,-0.000186386714412552
-7.92867828792494e-06,-0.000192650319706037,-0.000212061585597758
-9.48423118340378e-06,-0.000213506175650986,-0.00024072754083924
-1.10355620874079e-05,-0.000236941452559497,-0.000273639918211773
-1.21608226515923e-05,-0.000260216510846238,-0.000307819637375048
-1.33773017568231e-05,-0.000285858751272623,-0.00034636662093344
-1.49002995545544e-05,-0.000316778085393018,-0.000393154035396553
-1.64761370747686e-05,-0.000347649356493359,-0.000441948949051965
-1.7049166274797e-05,-0.000373560609141442,-0.000486423802190409
-1.68728646617795e-05,-0.000405428208386075,-0.000540742834232585
-1.72956502092253e-05,-0.000429509126830155,-0.000586775909318011
-1.80700817941911e-05,-0.000417552656418995,-0.00058429772704057
-1.61251689922952e-05,-0.000347128292856993,-0.000497549192778045
-1.14165412303071e-05,-0.00023168784695294,-0.000340151456397074
-1.20812376328609e-05,-0.000186696872500832,-0.000280756093834815
-1.46529124187852e-05,-0.000169107262557307,-0.000260481854745792
-1.58624106073248e-05,-0.000148461478918304,-0.000234235149547896
-1.54002046411526e-05,-0.000127658739090508,-0.000206306020460392
-1.51400763245824e-05,-0.000103378463655645,-0.000171125406407253
-1.84007383807104e-05,-6.78614246741825e-05,-0.000115061613384365
-2.48053964908998e-05,-5.17313912561033e-05,-8.98430966399376e-05
-2.11151307609454e-05,-4.28537400626484e-05,-7.62328844384702e-05
-9.69177811631934e-06,-3.43637291815148e-05,-6.26147969931661e-05
-2.42690446364509e-06,-2.24378834970521e-05,-4.18775866043238e-05
-5.80405619525064e-07,-1.16827128987957e-05,-2.23340008517917e-05
-1.24455791285253e-07,-4.43759039874513e-06,-8.68946633624342e-06
1.96932863909005e-09,-1.62306699504946e-06,-3.25540784627983e-06
2.84147127288119e-08,-7.12155665315663e-07,-1.46307624997269e-06
5.2752179580994e-08,-5.84929840492084e-07,-1.23088894797155e-06
7.78288345403296e-08,-5.0314836228674e-07,-1.08451165972454e-06
1.05769370086374e-07,-4.47170976678682e-07,-9.8726749370731e-07
1.44589079876081e-07,-4.25910827859222e-07,-9.63170069534864e-07
2.05598357799501e-07,-4.39280199111293e-07,-1.01753414677522e-06
2.87185060874754e-07,-4.57623727658562e-07,-1.08577282238681e-06
