C_ph,abs_CDOM_440,abs_X_440
-4.63187992505406e-07,-5.80133352912084e-05,-5.27030275641916e-05
-6.6209308405344e-07,-6.28370405187381e-05,-5.84718076040264e-05
-9.20668530439453e-07,-6.8013152720566e-05,-6.48256338236337e-05
-1.27489636266752e-06,-7.34082238581809e-05,-7.16673999314516e-05
-1.65828086168769e-06,-7.96061130753679e-05,-7.96061130753679e-05
-2.00664742566849e-06,-8.72790173471905e-05,-8.93990524237349e-05
-2.44137704553895e-06,-9.58595519548038e-05,-0.000100573028943532
-2.8876248984551e-06,-0.000105967402912041,-0.000113878435835989
-3.33881937825131e-06,-0.000117506407029601,-0.0001293462426152
-4.01781582208643e-06,-0.000129573209578238,-0.000146093385848498
-4.81768364572159e-06,-0.0001432403358956,-0.000165425987625599
-5.55874364025134e-06,-0.000157723065521375,-0.000186576388548838
-6.31936811231513e-06,-0.000173939090810497,-0.00021075686808276
-7.17064296263593e-06,-0.000193260192514996,-0.000239855684696489
-8.03621657431621e-06,-0.000213200122856072,-0.0002710304750292
-8.48508578094751e-06,-0.000232533181551433,-0.000302788012273676
-8.62875457234684e-06,-0.000256868235894274,-0.000342599885821276
-9.10457490009389e-06,-0.000276545503459578,-0.000377803937387503
-9.79293315075807e-06,-0.00027510334857371,-0.000384962851515357
-9.17239149421848e-06,-0.000240215382448718,-0.000344307773493609
-6.99718649734169e-06,-0.000172930239980901,-0.000253886743556932
-7.61160631147161e-06,-0.000142689862449883,-0.000214578036978512
-9.25636961352494e-06,-0.000129550821755509,-0.00019955167994799
-1.01140929031612e-05,-0.000114923074731414,-0.000181319920779113
-9.96767939565418e-06,-0.000100802673987019,-0.000162904621103017
-9.93475912109559e-06,-8.29521946273168e-05,-0.000137313203504916
-1.18048586014114e-05,-5.33904199735704e-05,-9.05254773374215e-05
-1.49165763920232e-05,-3.86620455133218e-05,-6.71452633886244e-05
-1.31058206891732e-05,-3.31894109554648e-05,-5.90409267954214e-05
-6.87463904182175e-06,-2.96315726615361e-05,-5.39922456317223e-05
-1.92159602709805e-06,-2.09789837735172e-05,-3.91547273147039e-05
-4.75807073051605e-07,-1.12845374757562e-05,-2.15728034899833e-05
-9.95910623949863e-08,-4.36005521470425e-06,-8.53764083838131e-06
5.21745006544993e-09,-1.60996771566263e-06,-3.22913444103744e-06
2.67396320652729e-08,-7.09689047039663e-07,-1.4580087474685e-06
4.81346594954568e-08,-5.8421492812031e-07,-1.2293845320976e-06
7.03469470042801e-08,-5.035789333694e-07,-1.08543973461156e-06
9.52360292050678e-08,-4.48470724579813e-07,-9.90137087038997e-07
1.30015095905687e-07,-4.28096958996661e-07,-9.68113865141665e-07
1.8492862499257e-07,-4.4271901237592e-07,-1.02549970026072e-06
2.58679068809024e-07,-4.62651203936028e-07,-1.0977011748243e-06
