C_ph,abs_CDOM_440,abs_X_440
-1.68055679206101e-07,-2.40642752611416e-05,-2.18615281475195e-05
-2.40238315197975e-07,-2.61611675137373e-05,-2.4343774642025e-05
-3.34666324122859e-07,-2.84403910602773e-05,-2.71074976372474e-05
-4.65255294724561e-07,-3.08570539420654e-05,-3.01253008088674e-05
-6.07816790625686e-07,-3.36273747945075e-05,-3.36273747945075e-05
-7.39343545114414e-07,-3.70000109946559e-05,-3.78987530236726e-05
-9.03776838348212e-07,-4.07704587524723e-05,-4.27751689272106e-05
-1.07355949842914e-06,-4.51859960382938e-05,-4.85593721193987e-05
-1.24536689273575e-06,-5.02540010435797e-05,-5.53175471506832e-05
-1.50990171010361e-06,-5.56108824335918e-05,-6.27010948574256e-05
-1.83747727330848e-06,-6.16591227514013e-05,-7.12091410111803e-05
-2.16373285961525e-06,-6.83023057632617e-05,-8.07972980790232e-05
-2.49904177743996e-06,-7.58284855140374e-05,-9.18791402434591e-05
-2.86390984423634e-06,-8.4675934090681e-05,-0.000105091503244048
-3.2437036065194e-06,-9.4170606424155e-05,-0.000119714303401959
-3.48012554026344e-06,-0.000104203111906539,-0.000135685810155802
-3.59378030416427e-06,-0.00011655930154348,-0.000155461819797136
-3.8760950916173e-06,-0.00012779389584014,-0.000174586230542528
-4.3410759971706e-06,-0.000132138155068735,-0.000184906077054199
-4.38043921830794e-06,-0.00012432830210084,-0.000178203412463478
-3.751518289501e-06,-0.000100511798728101,-0.000147565939137919
-4.34524033529555e-06,-8.82081202535773e-05,-0.000132648002910684
-5.46368660538711e-06,-8.27991736569169e-05,-0.000127538474690073
-6.19337349358337e-06,-7.62226859564606e-05,-0.000120260369046833
-6.34316068804682e-06,-6.95776166977816e-05,-0.000112442605310874
-6.58272936572648e-06,-5.96561909163525e-05,-9.87506445179415e-05
-8.112974104934e-06,-3.98586797324833e-05,-6.75818997229956e-05
-1.02584902732369e-05,-2.89958863904189e-05,-5.03578225885759e-05
-9.30882087871288e-06,-2.57383418138426e-05,-4.5786156220299e-05
-5.26584722462658e-06,-2.45931372783382e-05,-4.48116177954447e-05
-1.58625965800609e-06,-1.86115121431951e-05,-3.47361288205491e-05
-4.10666409050607e-07,-1.04607771670388e-05,-1.99980097245333e-05
-8.78138814088332e-08,-4.17760692898298e-06,-8.18037978127053e-06
5.64033524704402e-09,-1.57320712191704e-06,-3.15540321140962e-06
2.52537589976258e-08,-7.0031825609712e-07,-1.43875708334614e-06
4.52356191479082e-08,-5.78350194779751e-07,-1.21704316232644e-06
6.6092464563453e-08,-4.9985009712387e-07,-1.07740241065586e-06
8.95530785194259e-08,-4.46202756984386e-07,-9.85129850879851e-07
1.2240772466462e-07,-4.26848953800311e-07,-9.65291581289926e-07
1.74380120803056e-07,-4.42390758843476e-07,-1.02473934461816e-06
2.44412958529923e-07,-4.63440936432063e-07,-1.09957491962669e-06
