C_ph,abs_CDOM_440,abs_X_440
-4.28549443124977e-07,-4.27002562040848e-05,-3.87916462383256e-05
-6.218015851593e-07,-4.66529656913081e-05,-4.34120259569824e-05
-8.77240692464588e-07,-5.10053194059504e-05,-4.86148932464913e-05
-1.23262799844275e-06,-5.57377745546614e-05,-5.44159927914239e-05
-1.62276938068091e-06,-6.11201817098876e-05,-6.11201817098876e-05
-1.9720818245242e-06,-6.74883012712944e-05,-6.91276135630722e-05
-2.41189335036701e-06,-7.46985972457893e-05,-7.83715762241835e-05
-2.86056313176145e-06,-8.30446126462329e-05,-8.92443367759835e-05
-3.31976496809684e-06,-9.24803782714211e-05,-0.000101798614623859
-3.99856632726055e-06,-0.000102777709076451,-0.00011588154339624
-4.72865333103968e-06,-0.000114442317587259,-0.000132167613924287
-5.34199417241715e-06,-0.000126697925745314,-0.00014987561485727
-5.99467423104172e-06,-0.000140359643748135,-0.000170069642101312
-6.76129517861462e-06,-0.0001564958771983,-0.000194227405494607
-7.57120134449246e-06,-0.000173346940762769,-0.000220367151155484
-7.98434613716648e-06,-0.000189424435239766,-0.000246654898194073
-8.05434217867002e-06,-0.000208740084392046,-0.000278408612221223
-8.47104895619617e-06,-0.000225701989651968,-0.000308343832389127
-9.23875372984505e-06,-0.000228473663898146,-0.000319712114034211
-8.88829578933964e-06,-0.000204833171340896,-0.000293593409560585
-7.02381354157628e-06,-0.000152659000051159,-0.00022412561505684
-7.87088574689057e-06,-0.000130056189144713,-0.000195579428590313
-9.83639277408282e-06,-0.000121367402757007,-0.000186946472302521
-1.09955014896746e-05,-0.000110073873785223,-0.000173669092314418
-1.10198194005014e-05,-9.79038497285852e-05,-0.000158219905422506
-1.12021536818795e-05,-8.20585365714839e-05,-0.000135833905084474
-1.40702723479349e-05,-5.5734531553591e-05,-9.45000072215951e-05
-1.90206090231356e-05,-4.28394408299122e-05,-7.44002418846333e-05
-1.6581383222848e-05,-3.64027778766066e-05,-6.47572126738462e-05
-8.04652240776225e-06,-3.05328077859864e-05,-5.56344030955556e-05
-2.1242528024369e-06,-2.0764838630229e-05,-3.8755051392279e-05
-5.22822539827736e-07,-1.11162466307512e-05,-2.12510795968902e-05
-1.12600243253183e-07,-4.31441238896254e-06,-8.4482653525578e-06
3.49788031422505e-09,-1.59816158335112e-06,-3.20545471871029e-06
2.79205465434688e-08,-7.05651313703098e-07,-1.44971349400613e-06
5.11739806096938e-08,-5.80664841918347e-07,-1.22191395773492e-06
7.52305407048836e-08,-5.00220163750885e-07,-1.07820007115116e-06
1.02105329286331e-07,-4.4513007828874e-07,-9.82761582672308e-07
1.39511378181822e-07,-4.24414549625777e-07,-9.59786332104675e-07
1.98361651499959e-07,-4.3815470732261e-07,-1.01492709476328e-06
2.77157937200975e-07,-4.569244593469e-07,-1.08411371582727e-06
