C_ph,abs_CDOM_440,abs_X_440
-3.60957716566426e-07,-3.14640184158753e-05,-2.85839285317458e-05
-5.27284707126513e-07,-3.44808177014963e-05,-3.20854661840762e-05
-7.4857759012148e-07,-3.78358569650966e-05,-3.60626336364653e-05
-1.05813735041439e-06,-4.15400194356225e-05,-4.0554927358064e-05
-1.39968840590316e-06,-4.57432751969086e-05,-4.57432751969086e-05
-1.70240048393034e-06,-5.06351048558974e-05,-5.18650476492721e-05
-2.08452089529753e-06,-5.61937713824282e-05,-5.89568559464556e-05
-2.47237442406248e-06,-6.25828647023105e-05,-6.72550099991606e-05
-2.87221481229132e-06,-6.97888199972801e-05,-7.68206761774504e-05
-3.4545676403296e-06,-7.77681934519988e-05,-8.76833932701445e-05
-4.04186709892374e-06,-8.67817927067076e-05,-0.00010022291330628
-4.49943248697269e-06,-9.62785706273698e-05,-0.000113891446015957
-5.00165788163357e-06,-0.000106880124432223,-0.000129503495624064
-5.61316732791348e-06,-0.000119335077299407,-0.000148107048334524
-6.27954997664255e-06,-0.000132499596145677,-0.000168439999018122
-6.62867118148244e-06,-0.000145239386163614,-0.000189120299937076
-6.66799750270243e-06,-0.000160221416767907,-0.000213696484891193
-7.00979164440934e-06,-0.000174076687029995,-0.000237815682933052
-7.73752909419329e-06,-0.000178794200502084,-0.000250193702172436
-7.64787300152414e-06,-0.000164636606306244,-0.00023597849053213
-6.29430669702914e-06,-0.000127736968428303,-0.000187536447932289
-7.23708441074405e-06,-0.000111837964500868,-0.000168182731907094
-9.22094457584946e-06,-0.000106417662977052,-0.000163918863156936
-1.05037752730975e-05,-9.8308261579704e-05,-0.000155105893600771
-1.07137424687287e-05,-8.88106935178996e-05,-0.000143524688435276
-1.11023232357119e-05,-7.58081461751105e-05,-0.000125487450330163
-1.44762241944996e-05,-5.33879226700731e-05,-9.05212430648449e-05
-2.03432463530548e-05,-4.24256244763212e-05,-7.36815575085877e-05
-1.7809690964788e-05,-3.61452588592425e-05,-6.42991098930219e-05
-8.39433957816127e-06,-2.97634560407327e-05,-5.42325528164154e-05
-2.17474573489528e-06,-2.01065563833531e-05,-3.75264474641387e-05
-5.38579994522873e-07,-1.084082448098e-05,-2.07245513340733e-05
-1.19157973461541e-07,-4.24869163183343e-06,-8.31957427128375e-06
1.92120963612847e-09,-1.58340862417556e-06,-3.17586450511932e-06
2.79814068085199e-08,-7.01295753800954e-07,-1.44076528709222e-06
5.20690602793679e-08,-5.77355236611997e-07,-1.21494943598936e-06
7.69535002440649e-08,-4.97489495361388e-07,-1.07231424913677e-06
1.04719636448364e-07,-4.42732920407965e-07,-9.77469119215599e-07
1.4327879751231e-07,-4.22051176447365e-07,-9.54441714969605e-07
2.03828832149778e-07,-4.354994413851e-07,-1.00877652443106e-06
2.8482618470642e-07,-4.53864905030568e-07,-1.07685451853371e-06
