"","X","X1.75","X0.75","X0.75","X0.5","X0.75","X1.75","X0.75","X1","X1.5","X0.75","X1","X1.5","X1.25","X0.75","X1","X1.25","X1"
"1","wavelength","MAN-F21","MAN-F22","MAN-R22","MAN-R23","MAN-R25","MAN-F0","MAN-F03","MAN-F08","MAN-F14","MAN-R12","MAN-R13","MAN-R15","OUT-R07","OUT-R08","OUT-R09","MAN-R06","MAN-R07"
"2","412","0.014692501410163","0.0145285244564558","0.0150295069072438","0.0155288801357695","0.0170928402286853","0.0155746225883754","0.0145768871142954","0.0116889378610794","0.0140441339844297","0.0647160621416848","0.024883575849605","0.0178638848298806","0.0241782987448839","0.0195537853046835","0.0296333817815847","0.016324030103253","0.013521497608984"
"3","440","0.0112578879255217","0.0122969374896989","0.0118566719687867","0.0124074271448406","0.0138102995726845","0.012799709732538","0.0124549590246459","0.00973304199447356","0.0110999518318818","0.0493638066976653","0.0176505807594563","0.0139138952949049","0.0200186254434293","0.0167485865873515","0.0209195337642231","0.012794816692345","0.011235600821583"
"4","488","0.0123762006002983","0.013679916687356","0.0128270558020767","0.0130752808615247","0.015090413499132","0.0133516655389814","0.0122694720893363","0.0103591769148621","0.0124792306345637","0.0501293917910305","0.0191036183860096","0.0159363242962904","0.0196171109927208","0.0181082973192636","0.0204925294821425","0.013749074063053","0.0123893840564746"
"5","510","0.0121471445839024","0.0140323119601434","0.0119037668321845","0.013168563837922","0.0159714006499555","0.0140242823218561","0.0130473533120417","0.0109404774174053","0.0121599322544796","0.0557085329115482","0.0210969632085819","0.0161737536269871","0.0209413980681421","0.0200806692646978","0.0216117826293507","0.0131793673110778","0.0113316391714772"
"6","532","0.0106396641709194","0.0123553580695937","0.0105277839993992","0.0117235123072311","0.01396735974043","0.01236838926694","0.0113220535647553","0.00948003064074523","0.0107410029104714","0.0491504036820014","0.018506816202547","0.0141346869309515","0.0187532855574865","0.0165190274171117","0.0199172376371347","0.0107833204708506","0.0100920081084566"
"7","595","0.0113993640434336","0.0137869093208831","0.0110618750693168","0.0126506831133038","0.0150557780730532","0.0135592594969199","0.0120525694302398","0.00997983109442672","0.0125320590545405","0.0542425147743496","0.0218490153739543","0.0170203776165093","0.0187859415071343","0.0176488960512352","0.0212797885750916","0.0122294417605645","0.0102825251963541"
"8","650","0.00891703878857241","0.0103752806390315","0.00866905224450188","0.00965544426284339","0.0114869878499384","0.00961413214002079","0.00910819914023347","0.00783395596680808","0.008806108329123","0.0402863309694457","0.0149481724731611","0.0125241125124185","0.0147262729018238","0.0132015659078232","0.0154461182133632","0.00884343564708348","0.00801640131417249"
"9","676","0.00958275769286981","0.0111578467584797","0.00988883469024503","0.0100485536742436","0.01188226144493","0.00989646623159695","0.00938082397575158","0.00814004051693932","0.00928408043157602","0.0394863459052336","0.0146563215709045","0.012693771771568","0.0151710285944723","0.0140492429557671","0.0157181096082603","0.00943407206373235","0.00810228260654004"
"10","715","0.00910068535120008","0.0101748105808295","0.00922122610970872","0.00978582861897299","0.0113742734275087","0.00995877534388279","0.00912250933471572","0.0079296204809977","0.00930219674234867","0.0405061941582595","0.0149810841384826","0.0128757569496327","0.0146184834892003","0.0132383453561136","0.0146939524151775","0.00915104511744729","0.00797394498229935"
