wave,bbp
400,0.0189086243064144
410,0.0186072430300151
420,0.0183177566752485
430,0.0180394289578805
440,0.017771584931306
450,0.0175136046221381
460,0.0172649174506652
470,0.0170249973246879
480,0.0167933583130841
490,0.0165695508201269
500,0.0163531581937094
510,0.0161437937106916
520,0.0159410978909706
530,0.015744736098883
540,0.0155543963964358
550,0.0153697876178121
560,0.0151906376387911
570,0.0150166918182662
580,0.0148477115920676
590,0.0146834732018682
600,0.0145237665441556
610,0.0143683941261402
620,0.014217170117096
630,0.0140699194850313
640,0.0139264772097962
650,0.0137866875647858
660,0.0136504034603069
670,0.0135174858424724
680,0.0133878031421763
690,0.0132612307693118
700,0.0131376506479214
710,0.0130169507884362
720,0.0128990248935693
730,0.0127837719947899
740,0.0126710961166239
750,0.0125609059663061
