wave,bbp
400,0.00427405143111001
410,0.00420375978012155
420,0.00413627679156229
430,0.00407142728551059
440,0.00400905075568338
450,0.00394899984042194
460,0.00389113898289045
470,0.00383534325353203
480,0.00378149731215024
490,0.0037294944905396
500,0.0036792359795258
510,0.00363063010671168
520,0.00358359169325389
530,0.00353804147969003
540,0.00349390561225862
550,0.00345111518235161
560,0.00340960581275022
570,0.00336931728515236
580,0.00333019320422798
590,0.00329218069406018
600,0.00325523012336094
610,0.00321929485630551
620,0.00318433102622157
630,0.00315029732970608
640,0.00311715483903505
650,0.00308486683098365
660,0.00305339863039368
670,0.00302271746701614
680,0.00299279234432337
690,0.00296359391913059
700,0.002935094390994
710,0.00290726740046486
720,0.0028800879353768
730,0.00285353224443061
740,0.00282757775741722
750,0.00280220301148676
