"","1.25","1.5","1.75","2","2.25"
"399.1",1.74037733860696,1.35481856595046,1.12616500225628,1.10830826440716,1.11563701191321
"403.2",1.65739380350171,1.31362835109441,1.09109475677515,1.05228596956405,1.05410498757539
"407.5",1.5713830800802,1.24942364712515,1.03056518150013,0.998151474633734,0.995240528477351
"411.7",1.47594726959953,1.15843114386556,0.965649295062864,0.942334785794893,0.939147480948903
"415.5",1.39352143890424,1.09820478517185,0.913718425477058,0.883750041048183,0.881214433525786
"420.3",1.29758958180768,1.0279621564579,0.85210234078486,0.823692821112322,0.817676494344431
"425.3",1.21194991216817,0.95334866885086,0.793021869978556,0.771818859841243,0.766456582993476
"429.9",1.13202398313416,0.888521620607283,0.738714542615404,0.714200819765141,0.710139892565566
"434.3",1.05096669146479,0.827735682529551,0.686639889047044,0.665631633733989,0.659929362286126
"438.9",0.97222757408157,0.761870705124888,0.632660519264618,0.61619722288654,0.608671397834294
"443.3",0.908472526990443,0.71085248012635,0.591374294966913,0.573788429118267,0.568484779044263
"448.6",0.840994291222443,0.657552705967177,0.545036435030824,0.528999632179545,0.523420688370981
"453.4",0.782021767384721,0.610228756143999,0.504793059648842,0.491342218824354,0.485279853958144
"458.2",0.72964816717699,0.566324373134211,0.468875464446407,0.457005248530314,0.451852603793499
"462.9",0.679412165807,0.527099595470821,0.434825956663879,0.422810600045049,0.419444538894911
"467.6",0.633121273744802,0.49260778029882,0.405542851605343,0.394162093662733,0.390485753076192
"472.7",0.591578857468646,0.456043531423385,0.37510168832932,0.366517097522196,0.361991407856836
"478",0.554098238304808,0.427025745321949,0.350246556253811,0.340165113427576,0.336734024140495
"483.1",0.517063176088363,0.398908069423705,0.325470851073978,0.316336295521815,0.3132088624819
"488.1",0.485584677015583,0.372848259412157,0.304172946578566,0.29708469449854,0.293211334858072
"492.8",0.454334312123694,0.348080996563886,0.28359806387505,0.275938539307409,0.273095014464407
"497.7",0.425574591826721,0.32553414763711,0.263522470074643,0.256116313258795,0.253365077653728
"502.6",0.398243530913469,0.303394960377915,0.245183950093858,0.238398757385706,0.235524706172109
"507.8",0.371484039906493,0.281203564800363,0.226115913205827,0.219455311239085,0.217172446792394
"513.2",0.34618663428281,0.260666898123863,0.208230718288729,0.201914047564441,0.199437005102418
"518.5",0.322575299732822,0.242382392399848,0.192586411013315,0.186460583479169,0.183788841621642
"523.5",0.30241906532493,0.225068676039317,0.178199949637611,0.172830649946232,0.170221881203181
"528.9",0.281853601183643,0.208621677615767,0.164005352811855,0.15829186673542,0.155886073976697
"533.7",0.263078750259778,0.194214694468342,0.151898373960443,0.14640036797425,0.143634422978738
"538.5",0.246579944752166,0.180209313382416,0.140624375414392,0.136108022678845,0.133352026255682
"543.7",0.229466689263163,0.16593496713043,0.128336456244553,0.123848206314836,0.121591592115632
"548.5",0.213876335776987,0.153938030586828,0.118164522766371,0.113994809106712,0.111561601377658
"553.6",0.199211752697466,0.141838700112769,0.108236337383226,0.104500012858803,0.102216194155057
"558.7",0.185503685067434,0.130596808494817,0.0984588008011374,0.0949115514743214,0.0929851910108526
"563.9",0.172795964901141,0.120573886133658,0.0897483782236933,0.086142380891454,0.084140111668317
"569",0.160057202310446,0.110632612457636,0.0811824767151387,0.0776047321470944,0.0760719275694458
"573.4",0.149732492666895,0.101994171876521,0.0735132789260852,0.0700767492860047,0.0687665874399528
"578.1",0.14035779053731,0.0950858043879641,0.0674812341639241,0.0634265070802483,0.0625696486993382
