"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",3.62204527004487,7.2268688879013,6.38617134367705,3.11887138836416,3.86467886539006,5.82502727477112,4.44173904356663,7.03086971156341,4.93203786029341,3.90287789900365,5.54789189256176,7.03317883414541,5.84343247771805,3.6221822643315,6.46387424743224,7.11835972664053,5.20503089367301,3.84659941199633,4.49942819661576,6.33879056261287,3.44036486459913,5.95330006239262,3.96979944316226,3.66623884964356,4.43376451364158,4.3976510277161,2.36514166473231
"2",3.74810630834927,7.43086493574109,6.54289678829153,3.14453732802458,3.67060113116944,5.41289855892931,4.0678804597794,6.51025373066265,4.64724408750786,3.92938999752465,5.7508732420963,7.37868679194925,6.12036296313485,3.77266034333428,6.70594555619256,7.37321726529615,5.4035999451229,4.01234933003099,4.74112016347424,6.69831262853044,3.64211166368594,6.28807131158259,4.17821278055348,3.81453123690637,4.54519650507164,4.54197642027666,2.44325500994924
"3",3.47498689070891,6.90860216106418,6.0926206508426,2.98103305841447,3.68866628631045,5.55697227309677,4.23491531021504,6.71626526451525,4.72578619948411,3.78489094606846,5.40985473991425,6.87414241069481,5.73882903026391,3.61490751477374,6.52279878585473,7.21511094849241,5.27099985450265,3.89497914302345,4.55508192381924,6.41682268248517,3.48259818973949,6.02074452301945,4.00894580743885,3.68501867791078,4.43181367274065,4.40722520198659,2.37045848783318
"4",3.51027104095411,6.81356769063721,5.926701842133,2.91295511713419,3.48584973875376,5.18855255994473,3.92396549801595,6.24826323028901,4.42483674882519,3.63240035475362,5.24930565182022,6.70042312411869,5.54824623904282,3.4000602049215,6.01859627969373,6.60633138400495,4.84960317538693,3.6125607210864,4.29769273093108,6.08324745138713,3.31154443068848,5.75774361490378,3.86767759995696,3.65623913169804,4.44436629337121,4.43708955114204,2.38677377161389
"5",3.49137523111951,6.84476533469158,5.9883960339137,2.93123077267288,3.5351315987573,5.27693645376415,3.99837010352315,6.35784279488993,4.49244451337023,3.6568926450068,5.26508477194273,6.71027847486412,5.55944566334691,3.41329896196049,6.05008626772231,6.64449469712019,4.87636143572399,3.63116749276213,4.31651886308805,6.10860031409874,3.32495295562699,5.75280058498893,3.83528757207687,3.53958549243165,4.23897540843199,4.23942406004591,2.2805536155115
"6",3.43103069401264,6.73206150186873,5.89261593839423,2.90209039450482,3.56862741522752,5.36427896084648,4.08073053917066,6.4939440603655,4.59439379564842,3.75785563671635,5.42191589251112,6.91616982294487,5.72260898657377,3.49792230966688,6.18046701989999,6.77893534727,4.96746059993578,3.68312365751018,4.33863056956883,6.12436564480455,3.32818376618911,5.7568220059524,3.83634701058334,3.53572768237394,4.25599184686246,4.23455368489124,2.27761743914004
"7",3.37396078067907,6.57313009747102,5.72985335187075,2.83168128147193,3.46862498315247,5.20679586151143,3.95879533751408,6.28886101006279,4.43689334027654,3.59049995303969,5.1559865931491,6.56419193015845,5.4566542906472,3.38843870043183,6.05425965060542,6.67059652985446,4.89081498653278,3.63905673997318,4.318722437234,6.10890926966681,3.32417799450059,5.73797623322691,3.81146467245456,3.47603055927304,4.14662970939748,4.13733457676244,2.22549503064477
"8",3.32680176401769,6.53297722012348,5.72108827605541,2.79751218050302,3.37472427853522,5.03796245910205,3.81693178905328,6.07544404876075,4.29977164661698,3.5214184388163,5.08366213065421,6.48615323469735,5.35292189081285,3.2428076962623,5.692786912454,6.22751079755463,4.56866716246227,3.39265686619321,4.00955376462668,5.66501533203907,3.08029679698526,5.35348545944951,3.59386961771671,3.39072980651974,4.12626791349746,4.11165487534259,2.21160411230163
"9",3.30472735440617,6.46381251513723,5.64752715632264,2.78012282692631,3.39341294356625,5.08743628469002,3.86536758390842,6.13843620388895,4.3285062361497,3.49575031435552,5.01540840118087,6.38276159506149,5.28881232142548,3.24863584075609,5.76010685083217,6.32686700464959,4.64554274734129,3.4636206731116,4.12816423428809,5.84628185064549,3.18362833698172,5.5099021747441,3.67502647758053,3.39667506578663,4.08783239192244,4.07350455650487,2.19108572814253
"10",3.24193356683499,6.39653869290225,5.6168140722719,2.75045266185907,3.36260009257326,5.04414545690238,3.8341117477111,6.08513188641798,4.28678775008452,3.44918497651249,4.94032276853447,6.28286429673661,5.21478221657243,3.22149970741731,5.7351064739282,6.30971432061248,4.62993585773819,3.449243639812,4.10419391810332,5.80966584803919,3.1627724113552,5.47209392622629,3.6480385519972,3.36645438286224,4.04199670940844,4.03309773623083,2.16942780085726
