C_ph,abs_CDOM_440,abs_X_440
-1.29698128874166e-07,-1.52955847238195e-05,-1.38954883263202e-05
-1.87495076856995e-07,-1.67277066419442e-05,-1.55656478463954e-05
-2.64042652694334e-07,-1.83151114618047e-05,-1.74567515483365e-05
-3.7114488384605e-07,-2.0054286993394e-05,-1.95787138110344e-05
-4.89215478777601e-07,-2.20330735474557e-05,-2.20330735474557e-05
-5.96497943374212e-07,-2.43588201295784e-05,-2.49505036139663e-05
-7.31479782653663e-07,-2.69834189847356e-05,-2.83102113791098e-05
-8.69807154499938e-07,-3.00111189988419e-05,-3.22516094134405e-05
-1.01080610325085e-06,-3.34524765317256e-05,-3.68231167553429e-05
-1.22524284074286e-06,-3.72237439774526e-05,-4.19696541385745e-05
-1.4737055018208e-06,-4.15022480946602e-05,-4.79302867925814e-05
-1.70686275011955e-06,-4.61819333875778e-05,-5.46302997546643e-05
-1.95166742222062e-06,-5.14494078094073e-05,-6.23397305579625e-05
-2.22518628619877e-06,-5.75734532442927e-05,-7.14545497887756e-05
-2.51773942230294e-06,-6.42007666929248e-05,-8.16151701083634e-05
-2.6980734412497e-06,-7.11224987735751e-05,-9.26106110444479e-05
-2.76648660719194e-06,-7.93253233272679e-05,-0.000105800729389693
-2.97870917026722e-06,-8.73074836816973e-05,-0.000119275528568345
-3.38870252666853e-06,-9.19405631901136e-05,-0.000128656018035021
-3.53191081163094e-06,-8.9325628061791e-05,-0.000128033050175042
-3.18021715861943e-06,-7.58908155689117e-05,-0.000111418754943026
-3.84077079592931e-06,-6.9559862720027e-05,-0.000104604619688386
-5.00453264552558e-06,-6.7671356228286e-05,-0.000104236566289007
-5.86005779837004e-06,-6.43216360223881e-05,-0.000101483483410267
-6.16253127011441e-06,-6.01606096629782e-05,-9.72240212966575e-05
-6.60640837272033e-06,-5.32312934414854e-05,-8.81153230725204e-05
-8.80577785092787e-06,-3.84170499209007e-05,-6.51375618267593e-05
-1.20843786082032e-05,-3.01553078813935e-05,-5.23714165502067e-05
-1.09674306178032e-05,-2.67247650100814e-05,-4.75409128743592e-05
-5.78456991401357e-06,-2.40807435580227e-05,-4.38779755644558e-05
-1.66295302706657e-06,-1.76058853076076e-05,-3.28592483694816e-05
-4.33040459166843e-07,-9.96249423932446e-06,-1.90454354869902e-05
-9.58858563564058e-08,-4.04860240959216e-06,-7.92776961950645e-06
4.66853698095365e-09,-1.54223894062508e-06,-3.09328990328965e-06
2.64520035606491e-08,-6.90641548731189e-07,-1.41887693436389e-06
4.79931211499057e-08,-5.70618837736382e-07,-1.20077378901237e-06
7.04285937077012e-08,-4.93142906831028e-07,-1.06294539037755e-06
9.56030107026102e-08,-4.40019680804378e-07,-9.71478808119925e-07
1.30711720699152e-07,-4.20462828765842e-07,-9.50849768377056e-07
1.86008638275395e-07,-4.34895950510708e-07,-1.00737861809883e-06
2.60233083325054e-07,-4.54448903898742e-07,-1.07824013309223e-06
