C_ph,abs_CDOM_440,abs_X_440
-1.38123830699691e-07,-1.90236431068974e-05,-1.72822952171498e-05
-1.98121944962061e-07,-2.07299906553104e-05,-1.92898967746439e-05
-2.76979413656099e-07,-2.25995253233333e-05,-2.15403711575826e-05
-3.86588891690375e-07,-2.46081197743928e-05,-2.40245556797507e-05
-5.06744557832893e-07,-2.69033264652257e-05,-2.69033264652257e-05
-6.17289498807172e-07,-2.96584667031484e-05,-3.03788802875163e-05
-7.55829317053411e-07,-3.27488394859643e-05,-3.43591213846051e-05
-8.98638998880535e-07,-3.63466563359904e-05,-3.9060128470323e-05
-1.0433723982631e-06,-4.04627223680599e-05,-4.45397084005139e-05
-1.26633655373042e-06,-4.487448267478e-05,-5.05958379320676e-05
-1.53926577028432e-06,-4.98660265267644e-05,-5.75894815910419e-05
-1.80898163200784e-06,-5.53550215299895e-05,-6.54814815510223e-05
-2.0875665804739e-06,-6.1562105274606e-05,-7.45929879235295e-05
-2.39173852424989e-06,-6.88214608206948e-05,-8.54144787508659e-05
-2.71112995299731e-06,-7.66542248911787e-05,-9.74466182614569e-05
-2.91158204801042e-06,-8.49409236362636e-05,-0.00011060397168662
-3.0038484313162e-06,-9.49986610436072e-05,-0.000126705158048853
-3.24513839624586e-06,-0.000104434894239986,-0.000142674220881994
-3.66668922580645e-06,-0.000108996692979807,-0.00015252332606198
-3.76357463624577e-06,-0.000104312713815476,-0.000149514481024336
-3.3108335738519e-06,-8.66155776548159e-05,-0.00012716426551257
-3.91229475434155e-06,-7.75728368015275e-05,-0.000116654587494417
-4.99444446385737e-06,-7.3930065907891e-05,-0.000113877076584101
-5.74290490506406e-06,-6.90310559038914e-05,-0.000108913772251959
-5.95435701270811e-06,-6.37654265037852e-05,-0.00010304967351768
-6.27019137801456e-06,-5.5467082638288e-05,-9.1816290579817e-05
-7.95743055193683e-06,-3.81522463484317e-05,-6.46885773495763e-05
-1.03257555011743e-05,-2.84515558329053e-05,-4.94124711937012e-05
-9.40005732189865e-06,-2.53281951980215e-05,-4.50565429001779e-05
-5.2447143639606e-06,-2.39209158164216e-05,-4.35867504316604e-05
-1.56981773091567e-06,-1.80281968285735e-05,-3.36474415738708e-05
-4.09226484679234e-07,-1.02048557246348e-05,-1.95087612287295e-05
-8.86273327489169e-08,-4.11428192226459e-06,-8.05637993795974e-06
5.45882013105322e-09,-1.55875035884972e-06,-3.12640708243608e-06
2.5446213465277e-08,-6.96037539502985e-07,-1.42996263700979e-06
4.57050728431331e-08,-5.7511407110792e-07,-1.21023327063315e-06
6.68510281239558e-08,-4.97197541365822e-07,-1.071684956594e-06
9.06295984278441e-08,-4.43891092874716e-07,-9.80026141223204e-07
1.23895246413022e-07,-4.245862086727e-07,-9.60174528049332e-07
1.76456116329762e-07,-4.39863928740073e-07,-1.0188862788107e-06
2.47217823117352e-07,-4.60542576507564e-07,-1.09269817734844e-06
