C_ph,abs_CDOM_440,abs_X_440
-3.0919830261803e-07,-3.08082228351134e-05,-2.79881618447267e-05
-4.48981885968256e-07,-3.36865280212008e-05,-3.13463550963373e-05
-6.34127323716637e-07,-3.68700026891573e-05,-3.51420452926743e-05
-8.92413475031622e-07,-4.03537329540586e-05,-3.93967728184342e-05
-1.17650360654642e-06,-4.43119737595018e-05,-4.43119737595018e-05
-1.43071833683002e-06,-4.89618376629202e-05,-5.01511362642615e-05
-1.75086152350434e-06,-5.42258221150193e-05,-5.6892141323923e-05
-2.07702398727232e-06,-6.02977961104296e-05,-6.47993488253434e-05
-2.41095859462667e-06,-6.71632976944241e-05,-7.39306087048633e-05
-2.90607367345676e-06,-7.46966712866559e-05,-8.4220261699164e-05
-3.43893574791608e-06,-8.3228722740531e-05,-9.61195292658654e-05
-3.89154262530169e-06,-9.22970641040782e-05,-0.000109181576184022
-4.37466024431334e-06,-0.00010242854402853,-0.000124109646895011
-4.93889833249802e-06,-0.000114314965774926,-0.00014187657597864
-5.54192311002063e-06,-0.000126885466830623,-0.000161303041896564
-5.86847824897794e-06,-0.000139226576470043,-0.000181290850896085
-5.93781070154337e-06,-0.000153887068546276,-0.000205248001683732
-6.280991770044e-06,-0.000167350271119568,-0.000228626358269754
-6.95077062994812e-06,-0.000171892019116144,-0.000240535210402766
-6.88298223021718e-06,-0.000158620180056268,-0.000227354969817506
-5.69115608906986e-06,-0.000123694370949587,-0.000181601326871358
-6.54745470716652e-06,-0.000108188205901489,-0.000162694198788805
-8.31460593736489e-06,-0.000102590670253106,-0.000158024011878776
-9.45173396375953e-06,-9.46195107476777e-05,-0.000149285965703784
-9.62983916417301e-06,-8.55547892551435e-05,-0.000138262904900245
-9.96830854965227e-06,-7.30203168878715e-05,-0.000120872674651527
-1.28448165414176e-05,-5.08803109936103e-05,-8.62694925803747e-05
-1.76379358277273e-05,-3.97252951961024e-05,-6.89918335597131e-05
-1.55284654686569e-05,-3.40912016580834e-05,-6.06451299832858e-05
-7.60341289977939e-06,-2.88514134208465e-05,-5.25707028119635e-05
-2.03263381307778e-06,-1.98692514725591e-05,-3.70835466462111e-05
-5.07138956082055e-07,-1.07827824594695e-05,-2.06135916135799e-05
-1.10601674464075e-07,-4.23783484618996e-06,-8.29831505966399e-06
3.46213668891194e-09,-1.58183052462598e-06,-3.17269928909831e-06
2.77417577132058e-08,-7.01132685360558e-07,-1.44043027387266e-06
5.08942960800698e-08,-5.77491296080282e-07,-1.21523575083293e-06
7.48715589735039e-08,-4.97833235533012e-07,-1.07305516424648e-06
1.01673044824631e-07,-4.43245526153953e-07,-9.78600854092177e-07
1.38969013857121e-07,-4.22764595954606e-07,-9.56055067510676e-07
1.97624931249383e-07,-4.36527389525401e-07,-1.0111576295571e-06
2.76169577881697e-07,-4.55295043454423e-07,-1.08024771110442e-06
