C_ph,abs_CDOM_440,abs_X_440
-2.08999244828522e-06,-0.000299270776250071,-0.000271876731284138
-2.87565762910925e-06,-0.000313149719208145,-0.000291395488737782
-3.83245331388448e-06,-0.000325686999589229,-0.000310423283320392
-5.04933642916262e-06,-0.000334886348060903,-0.000326944756004872
-6.291013147691e-06,-0.000348049379709978,-0.000348049379709978
-7.42556299953367e-06,-0.00037160791412839,-0.000380634388493239
-8.80179488114639e-06,-0.000397059539393993,-0.000416583217148828
-1.02265714547302e-05,-0.000430435218462431,-0.000462569507793926
-1.16477948158912e-05,-0.000470020759542868,-0.000517379611332146
-1.36836988326922e-05,-0.000503981525386381,-0.000568237583127316
-1.61602985440382e-05,-0.000542281445381917,-0.000626272223619497
-1.8396403848965e-05,-0.000580717159723628,-0.000686951588668492
-2.05904272495046e-05,-0.000624775835486971,-0.000757022459571676
-2.30742952429404e-05,-0.000682227307927398,-0.000846713934887918
-2.53241817369629e-05,-0.000735206985796175,-0.000934631256003749
-2.60665882153674e-05,-0.000780494719918059,-0.00101630418186927
-2.62822829961321e-05,-0.00085242955598802,-0.00113693414654968
-2.67526330091286e-05,-0.000882027689055372,-0.00120498626678494
-2.59599145569337e-05,-0.000790194693097054,-0.0011057502712492
-2.05400892648177e-05,-0.00058298136237601,-0.000835604334833997
-1.26030178013038e-05,-0.000337663817915123,-0.000495739595093026
-1.20451368178467e-05,-0.000244515560685816,-0.000367704251176855
-1.34564423504499e-05,-0.000203925002923964,-0.000314112842863118
-1.36455873749577e-05,-0.000167938090969395,-0.000264964380926388
-1.26600423138093e-05,-0.000138866980486214,-0.000224419372473591
-1.18131039484384e-05,-0.000107056624282926,-0.000177213973695999
-1.24968344755932e-05,-6.13963901018242e-05,-0.000104099902632598
-1.43753126179382e-05,-4.06321905460041e-05,-7.05668595658795e-05
-1.24973379745927e-05,-3.4554403908313e-05,-6.14691244248857e-05
-6.88248282244307e-06,-3.21433261634646e-05,-5.8568958909533e-05
-1.96727575266796e-06,-2.3081956585731e-05,-4.30796708630377e-05
-4.76486516771654e-07,-1.2137392212258e-05,-2.32032174680114e-05
-9.57582394863374e-08,-4.55554723657955e-06,-8.92044348361192e-06
5.92520960470218e-09,-1.65266452093498e-06,-3.31477201195634e-06
2.60387044665473e-08,-7.22085773636909e-07,-1.48347699429315e-06
4.64264051838564e-08,-5.93574731302171e-07,-1.24908070332054e-06
6.7600993633645e-08,-5.11258937862827e-07,-1.10199360826824e-06
9.13550320536878e-08,-4.55181081886651e-07,-1.00495226509328e-06
1.24656787781166e-07,-4.34691679747215e-07,-9.83027403911743e-07
1.77426787882341e-07,-4.50119950421856e-07,-1.04264298874753e-06
2.48495235669586e-07,-4.71181501219461e-07,-1.11794043340606e-06
