C_ph,abs_CDOM_440,abs_X_440
-3.94269034153777e-07,-4.3195879162543e-05,-3.92419018616223e-05
-5.69622977847026e-07,-4.71166565057191e-05,-4.38435045858957e-05
-8.00554456324379e-07,-5.1410048612568e-05,-4.90006543279356e-05
-1.12092708570817e-06,-5.60343098836174e-05,-5.4705495995522e-05
-1.47181241832005e-06,-6.13068289111451e-05,-6.13068289111451e-05
-1.78864102331607e-06,-6.76155135275779e-05,-6.92579158455004e-05
-2.18680226902711e-06,-7.4736094348686e-05,-7.84109170842023e-05
-2.5946440832845e-06,-8.30181673478423e-05,-8.92159171947428e-05
-3.01074110585287e-06,-9.24163491812292e-05,-0.000101728134022471
-3.63206724637936e-06,-0.000102572121404864,-0.000115649743943802
-4.32915401712805e-06,-0.000114097422489699,-0.000131769300057007
-4.94594638583299e-06,-0.000126303376934643,-0.00014940888862444
-5.59318730434202e-06,-0.000139941008042113,-0.000169562393558977
-6.33602221493096e-06,-0.000156061475581641,-0.000193688268614729
-7.11210555663057e-06,-0.000172911781092569,-0.000219813954794489
-7.52127957990924e-06,-0.000189221317811811,-0.000246390413263972
-7.62542291025843e-06,-0.000209047920069873,-0.000278819190304995
-8.05525967930549e-06,-0.000226275218255833,-0.000309126951336476
-8.78913729537713e-06,-0.000228792947446044,-0.000320158899962765
-8.44543126743036e-06,-0.000204906294658842,-0.000293698219363087
-6.66775406068344e-06,-0.000152614781907143,-0.000224060696390263
-7.44702065817232e-06,-0.000129455146285433,-0.000194675576034358
-9.25830288765237e-06,-0.000120169200422026,-0.000185100839170882
-1.03092461197928e-05,-0.000108596271723595,-0.000171337805152256
-1.03076675122127e-05,-9.64838497928618e-05,-0.000155925079875268
-1.04460905860126e-05,-8.06693477062393e-05,-0.000133534339964864
-1.2932164561486e-05,-5.40442435442501e-05,-9.16340599419324e-05
-1.71062796355079e-05,-4.07884873175499e-05,-7.08383037627112e-05
-1.49796859030089e-05,-3.48521827675266e-05,-6.19988457824491e-05
-7.49647963880349e-06,-2.99421710219195e-05,-5.45581927435474e-05
-2.02663248697882e-06,-2.06963252249476e-05,-3.8627179435746e-05
-5.01024746734708e-07,-1.11227535628393e-05,-2.12635189873003e-05
-1.06802804537412e-07,-4.31874654950261e-06,-8.45675228774665e-06
4.33210755153282e-09,-1.59988036798803e-06,-3.20890210875034e-06
2.75150419229725e-08,-7.06412029704898e-07,-1.4512763342241e-06
5.00195327031728e-08,-5.81456463837145e-07,-1.22357979627378e-06
7.33388244085331e-08,-5.01060772719139e-07,-1.08001196262428e-06
9.94228922283752e-08,-4.46036812394014e-07,-9.84763477147261e-07
1.35783957624561e-07,-4.25473659056267e-07,-9.62181440275409e-07
1.93064218774323e-07,-4.39523427660638e-07,-1.01809755335474e-06
2.69838991417476e-07,-4.58694709811901e-07,-1.0883138692012e-06
