wave,station,bbp,boat
412,StationMAN-F08,0.011536584,saucier
440,StationMAN-F08,0.009964446,saucier
488,StationMAN-F08,0.010438862,saucier
510,StationMAN-F08,0.010989672,saucier
532,StationMAN-F08,0.009395845,saucier
595,StationMAN-F08,0.009856087,saucier
650,StationMAN-F08,0.008236594,saucier
676,StationMAN-F08,0.008218417,saucier
715,StationMAN-F08,0.007836026,saucier
