wave,station,bbp,boat
412,StationMAN-F14,0.011945293,saucier
440,StationMAN-F14,0.010020983,saucier
488,StationMAN-F14,0.010421802,saucier
510,StationMAN-F14,0.011127204,saucier
532,StationMAN-F14,0.009821297,saucier
595,StationMAN-F14,0.010593801,saucier
650,StationMAN-F14,0.008256991,saucier
676,StationMAN-F14,0.008448989,saucier
715,StationMAN-F14,0.008320731,saucier
