wave,station,bbp,boat
394,StationOUT-F50,0.006019552,kildir
420,StationOUT-F50,0.005352404,kildir
470,StationOUT-F50,0.004969104,kildir
532,StationOUT-F50,0.005034964,kildir
620,StationOUT-F50,0.00430275,kildir
700,StationOUT-F50,0.004127874,kildir
