wave,station,bbp,boat
412,StationMAN-R12B,0.064551405,saucier
440,StationMAN-R12B,0.04988097,saucier
488,StationMAN-R12B,0.050976054,saucier
510,StationMAN-R12B,0.055075615,saucier
532,StationMAN-R12B,0.048431846,saucier
595,StationMAN-R12B,0.05275721,saucier
650,StationMAN-R12B,0.039345483,saucier
676,StationMAN-R12B,0.039207229,saucier
715,StationMAN-R12B,0.039375768,saucier
