wave,station,bbp,boat
394,StationOUT-R01,0.04970202,kildir
420,StationOUT-R01,0.049835625,kildir
470,StationOUT-R01,0.040053047,kildir
532,StationOUT-R01,0.043521919,kildir
620,StationOUT-R01,0.02919109,kildir
700,StationOUT-R01,0.037100257,kildir
