waves,rrs.demo
400,0.000714902213243697
410,0.000747586436004423
420,0.000824964988764878
430,0.000913517124025266
440,0.00100206925928565
450,0.00111144825144914
460,0.00122975303942823
470,0.00135255336921443
480,0.00147984924080772
490,0.00160714511240102
500,0.00174372698970028
510,0.00188030886699955
520,0.00204910086594695
530,0.00221789286489435
540,0.00237120887887275
550,0.0025206558966089
560,0.0025849084970805
570,0.00256396668028754
580,0.00254302486349458
590,0.00250147928647754
600,0.00227449986744383
610,0.00204752044841012
620,0.00182054102937641
630,0.001639455828082
640,0.00150426484452691
650,0.00136907386097181
660,0.00123388287741672
670,0.00114315827676926
680,0.00109690005902945
690,0.00108474841760242
700,0.000971732643152626
710,0.000781729377264953
720,0.000707524546560306
730,0.000633319715855659
740,0.000559114885151012
750,0.000484910054446364
760,0.000410705223741717
770,0.00033650039303707
780,0.000262295562332423
790,0.000313922751115679
800,0.000365549939898936
