"","X","X1.25","X1.25","X1.25","X0.75","X1","X1","X0.5","X0.75","X0.75","X1.75","X0.75","X1","X1.5","X1.25","X1.25","X0.75","X1","X1.5","X1.25","X1","X1.25","X0.75","X1","X1.5","X1.25","X1"
"1","wavelength","StationMAN-F05","StationMAN-F18","StationMAN-F21","StationMAN-F22","StationMAN-R21","StationMAN-R22","StationMAN-R23","StationMAN-R24","StationMAN-R25","StationMAN-F0","StationMAN-F03.5","StationMAN-F08","StationMAN-F14","StationMAN-F16","StationMAN-R11.5","StationMAN-R12B","StationMAN-R13","StationMAN-R15","StationMAN-R02","StationMAN-R04","StationOUT-R07","StationOUT-R08","StationOUT-R09","StationOUT-R10","StationMAN-R06","StationMAN-R07"
"2","399.1","1.06757272603988","2.17019872994662","1.76497514111773","1.41353006446583","3.31475771932745","2.2519898270895","2.1672684773028","1.08047167173924","0.734712472139648","1.69461038852653","1.60591575886046","2.56616002523001","1.52895483737713","2.51945800451309","2.34187579799394","3.01002502737404","1.79521320108111","0.786368002162989","1.78718992566088","1.76771873783269","1.72749830325136","2.1368900388229","2.08711426333296","1.05436207433605","1.86254235911783","1.57528237213253"
"3","403.2","1.00476135337474","2.04783832504562","1.6906902920991","1.3436986672724","3.19194251600534","2.16038127628617","2.0723529014772","0.997837300527941","0.703564887377976","1.62170642558685","1.54252026082884","2.42999535327652","1.44771345695956","2.4169598223958","2.23743411437464","2.92867847744753","1.72095703873933","0.757516753690058","1.7040597692093","1.70384841587061","1.65075372332209","2.08679300835631","1.9925005387382","1.01244128672008","1.78489250979259","1.49082703808845"
"4","407.5","0.937401645567639","1.92021402424377","1.60902682010131","1.28165543467681","3.04602664184253","2.04731831460454","1.97977077288868","0.933089269417915","0.683862148037101","1.55396117397649","1.45156408699524","2.29540089359413","1.36689732456314","2.28632404960652","2.14027718868358","2.76646422404332","1.6346733754519","0.721889933170908","1.61874767671181","1.62034062410428","1.55828614563546","1.98672010328496","1.86956333542282","0.970178136521197","1.70166155541656","1.42296222708907"
"5","411.7","0.872883056658699","1.8000556593429","1.51922999481435","1.21516382873095","2.87179081383112","1.93417750971597","1.86687430313762","0.87175105095882","0.653379020038319","1.46289916169807","1.36576724622014","2.16352728336116","1.29108554636004","2.13993097558346","2.01501857871141","2.62235148067099","1.53238103097679","0.679607287629244","1.52949466140452","1.52748252785725","1.45738766037631","1.8679711769897","1.80068487036041","0.91412392311666","1.59905883713313","1.34879075994439"
"6","415.5","0.825273330465104","1.68830283523729","1.4427186557306","1.15827449114344","2.71033348193548","1.826424285962","1.76643401939135","0.824148262750901","0.628432582754236","1.37971973569321","1.30029902236286","2.0314098654299","1.2218725646107","2.01516136450459","1.88982067722964","2.47452379790009","1.45279732725425","0.653465812495924","1.44069545716684","1.4447879747911","1.37182021805868","1.77364826071271","1.68109934324048","0.868988243277704","1.5092560351257","1.26406056750276"
"7","420.3","0.773113121815451","1.57387079007942","1.35471513805124","1.08969586040184","2.54665393234337","1.7114279905466","1.66952073342631","0.77242911771452","0.598016739099267","1.29527893331121","1.21774575443086","1.89198880078468","1.14582333276957","1.89284260203345","1.76939337030429","2.32861339542505","1.3579528298135","0.613593069032278","1.34567273661586","1.36050402602581","1.28408299565974","1.66744168147058","1.55659905222843","0.818560995781729","1.41687145079726","1.18265118524191"
"8","425.3","0.723925647805434","1.46971284360171","1.27527152082403","1.03358874569119","2.38662798546876","1.6070545088397","1.57362549330735","0.723755533243327","0.573637652984241","1.21196830149121","1.13865977421827","1.77150630272727","1.07708993063326","1.76683007783722","1.65733439578045","2.18871877853119","1.2685120155139","0.576104763271546","1.25902966708035","1.27339052889307","1.19928330181413","1.5593556159808","1.47401235975556","0.773543192145797","1.32186449075883","1.10427860495339"
"9","429.9","0.684458625831087","1.37221979614","1.20070085455861","0.977874152425892","2.23369717675708","1.51001137638993","1.47739017556068","0.686814213573484","0.547346399093883","1.13440923040927","1.07068169939893","1.65344450895479","1.01316979520059","1.64957857036813","1.54515299562303","2.04380989281778","1.19157398436784","0.543806691856257","1.1810696399797","1.19665082970642","1.11995887598022","1.46297220468943","1.38467208677044","0.729258697732315","1.2353600840253","1.03003139472078"
"10","434.3","0.64406257018395","1.27701298519135","1.12476001280335","0.921187911060848","2.08862826333836","1.4084936850172","1.3886952065025","0.643953581996655","0.521488564841774","1.0597139244887","1.00201735966194","1.53726092093424","0.952395611387764","1.54420298503365","1.437625691939","1.91365133774397","1.10824209000601","0.509935095280521","1.09884635739899","1.12220259461074","1.04696334204106","1.3730654485363","1.28275960830278","0.687421930644467","1.15576223346208","0.961781103400011"
"11","438.9","0.600655854310231","1.1894119043418","1.0543959583787","0.865154626834057","1.95210896718857","1.3167734945249","1.30489643895337","0.603081672951438","0.49330835419856","0.989706859878491","0.930205749501292","1.43103294997611","0.891528219394636","1.4394933944831","1.34013669263388","1.78682119004085","1.03073562246279","0.477533061034645","1.02250956568263","1.04666050383012","0.975618160202117","1.27792292509456","1.20659295093385","0.646439148645294","1.07521325271007","0.899070156556587"
