X,X1.25,X0.75,X1,X0.5,X0.75,X1.75,X0.75,X1,X1.5,X0.75,X1,X1.5,X1.25,X0.75,X1,X1.25,X1
wavelength,StationMAN-F21,StationMAN-F22,StationMAN-R22,StationMAN-R23,StationMAN-R25,StationMAN-F0,StationMAN-F03.5,StationMAN-F08,StationMAN-F14,StationMAN-R12B,StationMAN-R13,StationMAN-R15,StationOUT-R07,StationOUT-R08,StationOUT-R09,StationMAN-R06,StationMAN-R07
686.6,0.154272389,0.140387788,0.149909958,0.17192891,0.122107101,0.123295951,0.114561266,0.13594395,0.13730691,0.334158405,0.12890129,0.08492929,0.158684552,0.187182753,0.148499549,0.113762046,0.105065167
690.8,0.136717785,0.123030282,0.133299165,0.151179791,0.107007972,0.112500395,0.104677839,0.124425335,0.121157662,0.319617318,0.120331142,0.075291631,0.148695911,0.173966925,0.136186177,0.104664672,0.097280012
694.7,0.122454695,0.108630045,0.11911479,0.133680823,0.094665257,0.103655724,0.096410028,0.114447018,0.107491896,0.307269531,0.112634263,0.066985429,0.140255378,0.161215311,0.12586721,0.096402739,0.091330276
698.4,0.111859544,0.098082754,0.10789232,0.120672607,0.085070095,0.096420104,0.089118875,0.10559525,0.097037974,0.296193234,0.1055165,0.060377092,0.132792085,0.151752279,0.116353757,0.089065076,0.086017729
702.3,0.104629299,0.090792881,0.099790624,0.111329783,0.078702771,0.091462253,0.084006072,0.098915611,0.089302959,0.286818327,0.100662791,0.055956457,0.126833853,0.145185226,0.110442287,0.08402128,0.082599449
706,0.099491013,0.086279442,0.093740358,0.104380784,0.074650415,0.088436396,0.079973278,0.093497274,0.083818213,0.27818907,0.09674024,0.052519579,0.121961487,0.139402834,0.106114826,0.07989391,0.080449329
709.7,0.094645321,0.082348743,0.088321293,0.098101681,0.071162043,0.085585311,0.076068286,0.087886753,0.079278226,0.269361809,0.092258405,0.049193024,0.1175674,0.134458768,0.101711121,0.075465398,0.079562331
713.2,0.090945009,0.077929459,0.082717856,0.092670669,0.067263972,0.082257545,0.071998026,0.082364118,0.074160937,0.261199118,0.08775907,0.045548018,0.112213859,0.13085528,0.097618528,0.071023799,0.076917404
716.8,0.08914421,0.07605626,0.079960746,0.088838907,0.065847084,0.081879278,0.069523913,0.079196047,0.071830702,0.253707918,0.086021202,0.043948962,0.109455777,0.127980389,0.095683309,0.069120822,0.076616691
720.1,0.086391248,0.073079823,0.075778939,0.083680777,0.063147627,0.08073797,0.066926781,0.074794293,0.067842885,0.246394094,0.082396144,0.041394778,0.106340353,0.123650274,0.093553307,0.065195172,0.076370484
723.7,0.082618509,0.069564477,0.071304066,0.078590542,0.059745982,0.078581686,0.064052566,0.070173228,0.06428284,0.238074139,0.079544147,0.039168738,0.101485682,0.120741828,0.090128127,0.06182375,0.07438583
726.8,0.080870428,0.066747702,0.067343479,0.075405701,0.057459467,0.076176678,0.059565565,0.066107158,0.061262172,0.230147257,0.076348465,0.035886957,0.097676726,0.117817155,0.088435922,0.059172476,0.072502109
730,0.07366479,0.060600436,0.061087148,0.06781451,0.051663296,0.070274537,0.053833969,0.059328674,0.054561856,0.219951747,0.068939461,0.0290992,0.091183118,0.110226446,0.083730397,0.051611254,0.066884549
733.4,0.068810065,0.056406107,0.055442426,0.063538979,0.047141805,0.063263453,0.048762338,0.053526839,0.050544141,0.212727664,0.063292444,0.024534463,0.085402619,0.105774547,0.079309451,0.04750809,0.060851512
736.7,0.066931475,0.0534082,0.052459473,0.060504217,0.045545869,0.057849337,0.045681146,0.050295167,0.048515755,0.206995156,0.060439747,0.022120366,0.080364584,0.102556036,0.077906644,0.045719343,0.055218127
739.3,0.065255281,0.053141448,0.052012457,0.058687807,0.04584234,0.055476501,0.044706597,0.049909377,0.048590816,0.205181549,0.059255966,0.021968571,0.078921831,0.099831093,0.078048916,0.045422382,0.05224973
742.4,0.065142163,0.053664433,0.052585886,0.059221049,0.046878159,0.053604658,0.045355484,0.050656818,0.049907212,0.203759312,0.058510099,0.022672438,0.078361869,0.0988974,0.077184718,0.045987299,0.051540091
745,0.064727587,0.053574805,0.051337462,0.059206115,0.046947537,0.050852685,0.044588414,0.050366679,0.0504722,0.201448571,0.057552767,0.02304674,0.074942315,0.099154498,0.075828179,0.046746005,0.048310229
