,X,X1.1,X1.2,X1.3,X1.4,X1.5,X1.6,X1.7,X1.8,X1.9,X2,X2.1,X2.2,X2.3,X2.4,X2.5,X2.6,X2.7,X2.8,X2.9,X3,X3.1,X3.2,X3.3,X3.4,X3.5,X3.6,X3.7,X1,X1.5,X2,X2.5,X3,X3.5,X4,X4.5,X5,X5.5,X6,X6.5,X7,X7.5,X8,X8.5,X9,X9.5,X10,X10.5,X11,X11.5,X12,X12.5,X13,X13.5,X14,X14.5,X15,X15.5,X16,X16.5,X17,X17.5,X18,X18.5,X19,X19.5,X20,X20.5,X21,X21.5,X22,X22.5,X23,X23.5,X24,X24.5,X25,X25.5,X26,X26.5,X27,X27.5,X28,X28.5,X29,X29.5,X30,X30.5,X31,X31.5,X32,X32.5,X33,X33.5,X34,X34.5,X35,X35.5,X36,X36.5,X37,X37.5,X38,X38.5,X39,X39.5,X40,X40.5,X41,X41.5,X42,X42.5,X43,X43.5,X44,X44.5,X45,X45.5,X46,X46.5,X47,X47.5,X48,X48.5,X49,X49.5,X50,X50.5,X51,X51.5,X52,X52.5,X53,X53.5,X0.9,X1,X1.1,X1.2,X1.3,X1.4,X1.5,X1.6,X1.7,X1.8,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X0.8,X0.9,X1,X1.1,X1.2,X1.3,X1.4,X1.5,X1.6,X1.7,X1.8,X1.9,X2,X2.1,X2.2,X2.3,X2.4,X2.5,X2.6,X2.7,X2.8,X2.9,X3,X3.1,X3.2,X3.3,X3.4,X3.5,X3.6,X3.7,X3.8,X3.9,X4,X4.1,X4.2,X4.3,X4.4,X4.5,X4.6,X4.7,X4.8,X4.9,X5,X5.1,X5.2,X5.3,X5.4,X5.5,X5.6,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X1,X1.1,X1.2,X1.3,X1.4,X1.5,X1.6,X1.7,X1.8,X1.9,X2,X2.1,X2.2,X0.75,X1,X1.25,X1.5,X1.75,X2,X2.25,X2.5,X2.75,X3,X3.25,X3.5,X3.75,X4,X0.75,X1,X1.25,X1.5,X1.75,X2,X2.25,X2.5,X2.75,X3,X3.25,X3.5,X3.75,X4,X4.25,X4.5,X4.75,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X1.1,X1.2,X1.3,X1.4,X1.5,X1.6,X1.7,X1.8,X1.9,X2,X2.1,X2.2,X2.3,X2.4,X2.5,X2.6,X1,X1.1,X1.2,X1.3,X1.4,X1.5,X1.6,X1.7,X1.8,X1.9,X2,X2.1,X2.2,X2.3,X2.4,X2.5,X2.6,X2.7,X2.8,X2.9,X3,X3.1,X3.2,X3.3,X3.4,X3.5,X3.6,X3.7,X3.8,X3.9,X4,X4.1,X4.2,X4.3,X4.4,X4.5,X4.6,X4.7,X4.8,X4.9,X5,X5.1,X5.2,X5.3,X5.4,X5.5,X5.6,X5.7,X5.8,X5.9,X6,X6.1,X6.2,X6.3,X6.4,X6.5,X6.6,X6.7,X6.8,X6.9,X7,X7.1,X7.2,X7.3,X7.4,X7.5,X7.6,X7.7,X7.8,X7.9,X8,X8.1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51
1,wavelength,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F01,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F18,OUT-F50,OUT-F50,OUT-F50,OUT-F50,OUT-F50,OUT-F50,OUT-F50,OUT-F50,OUT-F50,OUT-F50,OUT-F54,OUT-F54,OUT-F54,OUT-F54,OUT-F54,OUT-F54,OUT-F54,OUT-F54,OUT-F54,OUT-F54,OUT-F54,OUT-F54,OUT-F54,OUT-F54,OUT-F54,OUT-F54,OUT-F55,OUT-F55,OUT-F55,OUT-F55,OUT-F55,OUT-F55,OUT-F55,OUT-F55,OUT-F55,OUT-F55,OUT-F55,OUT-F55,OUT-F55,OUT-F55,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R01,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R03,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,OUT-R05,MAN-R01,MAN-R01,MAN-R01,MAN-R01,MAN-R01,MAN-R01,MAN-R01,MAN-R01,MAN-R01,MAN-R01,MAN-R01,MAN-R01,MAN-R01,MAN-R03,MAN-R03,MAN-R03,MAN-R03,MAN-R03,MAN-R03,MAN-R03,MAN-R03,MAN-R03,MAN-R03,MAN-R03,MAN-R03,MAN-R03,MAN-R03,MAN-R05,MAN-R05,MAN-R05,MAN-R05,MAN-R05,MAN-R05,MAN-R05,MAN-R05,MAN-R05,MAN-R05,MAN-R05,MAN-R05,MAN-R05,MAN-R05,MAN-R05,MAN-R05,MAN-R05,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R09,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,MAN-R10,OUT-R21,OUT-R21,OUT-R21,OUT-R21,OUT-R21,OUT-R21,OUT-R21,OUT-R21,OUT-R21,OUT-R21,OUT-R21,OUT-R21,OUT-R21,OUT-R21,OUT-R21,OUT-R21,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R22,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R24,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25,OUT-R25
2,,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30,30.5,31,31.5,32,32.5,33,33.5,34,34.5,35,35.5,36,36.5,37,37.5,38,38.5,39,39.5,40,40.5,41,41.5,42,42.5,43,43.5,44,44.5,45,45.5,46,46.5,47,47.5,48,48.5,49,49.5,50,50.5,51,51.5,52,52.5,53,53.5,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
3,360,3.62204527,7.226868888,6.386171344,3.118871388,3.864678865,5.825027275,4.441739044,7.030869712,4.93203786,3.902877899,5.547891893,7.033178834,5.843432478,3.622182264,6.463874247,7.118359727,5.205030894,3.846599412,4.499428197,6.338790563,3.440364865,5.953300062,3.969799443,3.66623885,4.433764514,4.397651028,2.365141665,3.46369467,3.475416642,3.48235849,3.482481285,3.476581166,3.472531364,3.447863165,3.38596491,3.304260644,3.209333585,3.105782482,2.995091451,2.877438339,2.75519306,2.634960327,2.524532601,2.419347452,2.316805245,2.220310104,2.129156588,2.038809058,1.945374615,1.861663775,1.793327823,1.73644795,1.686565109,1.640304843,1.600240948,1.558440093,1.510693347,1.463604644,1.42184902,1.386408081,1.349788192,1.313264934,1.278645712,1.245698057,1.211162507,1.181496605,1.157428993,1.137512014,1.120758687,1.105465978,1.091014008,1.073188762,1.050608436,1.030304191,1.014544238,1.000935832,0.985808337,0.970287059,0.956227727,0.942825613,0.928538781,0.914480577,0.901124037,0.889217674,0.878333306,0.868197829,0.858806002,0.852212977,0.84974266,0.847601347,0.842134314,0.833776491,0.821406095,0.807691523,0.794616734,0.783686245,0.773643406,0.771083942,0.770089449,0.765072601,0.758310383,0.752118275,0.746118834,0.740466659,0.736647779,0.733818091,0.730442329,0.725866684,0.719123074,0.712352255,0.707828214,0.70426778,0.699738015,0.694493415,0.68910232,0.685014101,0.682735136,0.681405529,0.680157244,0.680103122,0.68227978,0.684036343,0.682019849,0.676849606,0.671257563,0.667058378,0.667532698,0.66722444,0.666256803,0.66525055,0.664386523,0.663617907,0.662787696,3.757078011,1.401514905,1.280496784,1.196590974,2.470692005,3.369719442,2.597955352,1.7709518,3.369293062,3.959578078,4.185092984,4.393663922,4.341602648,4.013210131,3.576121713,3.28411255,3.059151202,2.864243021,2.681389884,2.511937639,2.350869011,2.202483541,2.049445608,1.924166377,1.810171429,1.710480201,3.960429479,3.992972535,3.99225118,3.983471684,3.973653109,3.943036151,3.915051902,3.87844265,3.844619968,3.801551721,3.754317955,3.725023712,3.672649467,3.606359976,4.826086827,4.641167393,4.418588856,4.412300442,4.845980899,4.876536654,4.82320304,4.505704309,4.512672246,4.590680702,4.600202085,4.546700445,4.483585353,4.422748421,4.313225566,4.250782572,4.199278025,4.155508094,4.153688184,4.116740376,4.07831083,4.032878881,3.936532436,3.869329135,3.759802196,3.749629955,3.700229588,3.68648258,3.582187066,3.511221928,3.445229082,3.373911919,3.400043068,3.38790728,3.421310369,3.348562541,3.285834919,3.159970194,3.07659713,3.004663823,2.938712162,2.895637264,2.844689681,2.805930126,2.750148919,2.677951816,2.634659842,2.591827143,2.548859088,4.275837408,4.208706887,4.012542768,3.660090939,3.322348767,3.036464665,2.750948214,2.519041116,2.319756725,2.13118004,1.953148217,1.824186487,1.73841066,1.650222695,1.566954296,1.497400772,1.441778011,1.389896605,1.332472397,1.279621967,1.248922667,1.218905873,1.187327703,1.145857347,1.103601735,1.080795216,1.055038687,1.036523076,1.010852781,0.977331068,4.895919765,4.998914309,5.006398749,4.969237365,4.837723376,4.74189261,4.663038147,4.628367736,4.594884096,4.537040862,4.466664158,4.476764066,4.528510322,4.52424966,4.423422425,4.302893853,4.205008224,4.164487446,4.236620923,4.237619833,4.162458668,4.068777054,4.056696924,4.091064929,4.09394579,4.074785213,4.056096948,4.016723227,3.949592878,3.904866682,3.906539553,3.964172002,4.011753404,3.980943399,3.920091834,3.854815058,3.83311713,3.849436997,3.854973248,3.864145849,3.861052973,3.859434536,3.890395268,3.90280164,3.89860234,3.875989687,3.850716733,3.82549004,3.812345316,1.666605229,1.833901601,1.246741644,0.954982296,1.73207849,1.038755194,1.190976642,1.013225565,0.733575304,1.710883618,0.834739714,1.513286042,1.835127534,2.478396674,2.515578404,2.541902739,2.557695309,2.56349978,2.55960191,2.544422543,2.516836328,2.493795572,2.455557746,2.405329225,2.344155509,2.272163786,2.189047456,2.219099299,2.250266467,2.274724743,2.292883626,2.304967982,2.310835717,2.309936049,2.300281341,2.282933203,2.266477651,2.258975862,2.250320625,2.238601302,2.223900968,2.206596826,2.186979109,2.165165586,2.17035052,2.174712807,2.134140759,2.047691628,1.91909573,1.785373308,1.675791101,1.579774056,1.487381647,1.40273398,1.328306968,1.25022522,1.176955142,1.117979704,1.07004849,1.027210536,0.987866644,0.949525106,0.915225053,0.886013308,0.868484914,0.854118327,0.833413618,0.798669299,0.766404712,0.748599917,0.73876337,0.727944489,0.71364654,0.697025504,0.679364293,0.661650971,0.652903402,0.642743432,0.630017813,0.619667852,0.610111351,0.602371411,0.590750673,0.584510228,0.575480451,0.565273194,0.55789954,0.552329989,0.537717758,0.519324409,0.513046822,0.514695158,0.511892903,0.501341377,0.48449474,2.004162766,1.967096924,1.86990028,1.751424729,1.64933784,1.53684294,1.432251214,1.339497139,1.264086798,1.197400698,1.141435202,1.0867643,1.04340614,1.012666476,0.983315457,0.951071216,0.920329303,0.892293176,0.861464975,0.831134195,0.815189209,0.806532843,0.78959378,0.758225619,0.730697093,0.715699313,0.701821172,0.692472779,0.682609228,0.673555213,0.657922768,0.643735673,0.630604767,0.622092408,0.616370576,0.602927194,0.586090867,0.571909754,0.563670753,0.556156873,0.546062207,0.532341139,0.524121815,0.518904023,0.512444127,0.505764495,0.497874602,0.487905347,0.476404029,3.523569303,3.655073891,1.87380032,1.324829622,3.753021096,3.004332651,3.23874865,3.023273636,1.912401821,3.574796102,2.097370787,3.382251015,1.807119603,3.266088621,1.90425251,1.600819316,2.770808364,2.894253883,2.965044117,2.983179064,2.948658726,2.924210135,2.911653801,2.893512695,2.863432954,2.848322159,2.83436175,2.830578035,2.815675242,2.797993305,2.777532225,2.728257892,2.706851465,2.693231757,2.687398767,2.705519145,2.711069423,2.714381681,2.71545592,2.71429214,2.705309525,2.705219904,2.706454634,2.731619439,2.730887743,2.720837853,2.701469769,2.637924228,2.614342243,2.604461049,2.608280646,2.669020787,2.671889109,2.660956635,2.636223366,2.569393349,2.544552809,2.526589999,2.523414528,2.517366622,2.514277282,2.514146509,2.518743688,2.523555942,2.53005886,2.538252441,2.584633758,2.577649472,2.554053927,2.513847122,2.383585963,2.342025363,2.319673176,2.316529401,2.403199416,2.409117791,2.39836821,2.370950671,2.302825183,2.267198418,2.236384162,2.210382414,2.177545251,2.168303749,2.200349415,2.239125619,2.256463637,1.684297119,2.340176244,2.304051688,2.345310323,2.32634209,2.326683083,2.304992919,2.299003229,2.330282965,2.352166729,2.325911311,2.281993456,2.276072139,2.307245833,2.325572616,2.305564552,2.299711164,2.308854626,2.30364449,2.262384483,2.226893586,2.224593947,2.238717405,2.255249807,2.27163936,2.258937012,2.224372908,2.166738815,1.477856121,1.499258959,1.513092551,1.5079205,1.488328235,1.489762164,1.47820857,1.428748874,1.391675793,1.342611839,1.290683955,1.243445897,1.206475147,1.171036111,1.139736703,1.109610738,1.074127411,1.042977862,1.024253289,1.015035249,0.998861915,0.982123268,0.975261092,0.984908694,0.984031334,0.974809017,0.960920748,0.952765896,0.934982325,0.926424874,0.919992125,0.910477645,0.894658813,0.885958314,0.876898264,0.863270185,0.845456494,0.820569091,0.799893459,0.783179047,0.771580196,0.757182166,0.732851025,0.706266444,0.681266107,0.658367601,0.640093678,0.628582336,0.62012967,0.608037566,0.593854192
