ID,Lambda,rho,Target,Background
001,600.5,14.2,Rock,NA
001,602,14.24,Rock,NA
001,603.5,14.23,Rock,NA
001,605.1,14.22,Rock,NA
001,606.6,14.2,Rock,NA
001,608.1,14.17,Rock,NA
001,609.7,14.11,Rock,NA
001,611.2,14.04,Rock,NA
001,612.7,14.04,Rock,NA
001,614.3,13.99,Rock,NA
001,615.8,13.97,Rock,NA
001,617.3,13.95,Rock,NA
001,618.9,13.87,Rock,NA
001,620.4,13.87,Rock,NA
001,621.9,13.87,Rock,NA
001,623.5,13.9,Rock,NA
001,625,13.93,Rock,NA
001,626.5,13.96,Rock,NA
001,628,13.96,Rock,NA
001,629.6,13.93,Rock,NA
001,631.1,13.92,Rock,NA
001,632.6,13.89,Rock,NA
001,634.2,13.94,Rock,NA
001,635.7,13.92,Rock,NA
001,637.2,13.93,Rock,NA
001,638.7,13.94,Rock,NA
001,640.2,13.95,Rock,NA
001,641.8,13.97,Rock,NA
001,643.3,14.04,Rock,NA
001,644.8,14.07,Rock,NA
001,646.3,14.18,Rock,NA
001,647.8,14.17,Rock,NA
001,649.4,14.1,Rock,NA
001,650.9,14.01,Rock,NA
001,652.4,13.96,Rock,NA
001,653.9,13.95,Rock,NA
001,655.4,13.96,Rock,NA
001,656.9,13.85,Rock,NA
001,658.5,13.68,Rock,NA
001,660,13.43,Rock,NA
001,661.5,13.13,Rock,NA
001,663,12.94,Rock,NA
001,664.5,12.77,Rock,NA
001,666,12.64,Rock,NA
001,667.5,12.58,Rock,NA
001,669,12.51,Rock,NA
001,670.5,12.46,Rock,NA
001,672,12.56,Rock,NA
001,673.5,12.75,Rock,NA
001,675,13.04,Rock,NA
001,676.5,13.33,Rock,NA
001,678,13.71,Rock,NA
001,679.5,14.07,Rock,NA
001,681,14.43,Rock,NA
001,682.5,14.81,Rock,NA
001,684,15.33,Rock,NA
001,685.5,15.92,Rock,NA
001,687,16.87,Rock,NA
001,688.5,17.45,Rock,NA
001,690,17.8,Rock,NA
001,691.5,18.18,Rock,NA
001,693,18.67,Rock,NA
001,694.5,19.27,Rock,NA
001,696,19.82,Rock,NA
001,697.5,20.25,Rock,NA
001,699,20.96,Rock,NA
001,700.5,21.22,Rock,NA
001,702,21.7,Rock,NA
001,703.5,22.26,Rock,NA
001,705,22.86,Rock,NA
001,706.5,23.71,Rock,NA
001,707.9,24.22,Rock,NA
001,709.4,24.57,Rock,NA
001,710.9,25.5,Rock,NA
001,712.4,27.03,Rock,NA
001,713.9,28.49,Rock,NA
001,715.3,29.83,Rock,NA
001,716.8,32.61,Rock,NA
001,718.3,35.56,Rock,NA
001,719.8,35.33,Rock,NA
001,721.3,40,Rock,NA
001,722.8,41.9,Rock,NA
001,724.2,49.41,Rock,NA
001,725.7,54.67,Rock,NA
001,727.2,55.71,Rock,NA
001,728.7,54.29,Rock,NA
001,730.1,55.38,Rock,NA
001,731.6,58.33,Rock,NA
001,733.1,55,Rock,NA
001,734.5,60,Rock,NA
001,736,54.55,Rock,NA
001,737.5,52.73,Rock,NA
001,738.9,50,Rock,NA
001,740.4,48,Rock,NA
001,741.9,62.22,Rock,NA
001,743.3,51.11,Rock,NA
001,744.8,51.11,Rock,NA
001,746.3,48.89,Rock,NA
001,747.7,48.89,Rock,NA
001,749.2,46,Rock,NA
001,750.7,45,Rock,NA
001,752.1,45.71,Rock,NA
001,753.6,51.43,Rock,NA
001,755,51.43,Rock,NA
001,756.5,51.43,Rock,NA
001,757.9,42.86,Rock,NA
001,759.4,36.67,Rock,NA
001,760.8,44,Rock,NA
001,762.3,52,Rock,NA
001,763.7,37.14,Rock,NA
001,765.2,48,Rock,NA
001,766.6,33.33,Rock,NA
001,768.1,44,Rock,NA
001,769.5,33.33,Rock,NA
001,771,23.33,Rock,NA
001,772.4,28,Rock,NA
001,773.9,26.67,Rock,NA
001,775.3,40,Rock,NA
001,776.8,28,Rock,NA
001,778.2,24,Rock,NA
001,779.6,24,Rock,NA
001,781.1,23.33,Rock,NA
001,782.5,24,Rock,NA
001,784,24,Rock,NA
001,785.4,32,Rock,NA
001,786.8,32,Rock,NA
001,788.3,45,Rock,NA
001,789.7,40,Rock,NA
001,791.1,20,Rock,NA
001,792.5,16,Rock,NA
001,794,10,Rock,NA
001,795.4,15,Rock,NA
001,796.8,40,Rock,NA
001,798.3,40,Rock,NA
001,799.7,25,Rock,NA
001,801.1,20,Rock,NA
001,802.5,5,Rock,NA
001,804,13.33,Rock,NA
001,805.4,26.67,Rock,NA
001,806.8,35,Rock,NA
001,808.2,30,Rock,NA
001,809.6,40,Rock,NA
001,811.1,13.33,Rock,NA
001,812.5,13.33,Rock,NA
001,813.9,13.33,Rock,NA
001,815.3,50,Rock,NA
001,816.7,46.67,Rock,NA
001,818.1,80,Rock,NA
001,819.5,35,Rock,NA
001,821,25,Rock,NA
001,822.4,6.67,Rock,NA
001,823.8,0,Rock,NA
001,825.2,40,Rock,NA
001,826.6,60,Rock,NA
001,828,60,Rock,NA
001,829.4,13.33,Rock,NA
001,830.8,26.67,Rock,NA
001,832.2,30,Rock,NA
001,833.6,80,Rock,NA
001,835,30,Rock,NA
001,836.4,40,Rock,NA
001,837.8,60,Rock,NA
001,839.2,20,Rock,NA
001,840.6,-20,Rock,NA
001,842,10,Rock,NA
001,843.3,20,Rock,NA
001,844.7,40,Rock,NA
001,846.1,50,Rock,NA
001,847.5,20,Rock,NA
001,848.9,60,Rock,NA
001,850.3,40,Rock,NA
001,851.7,0,Rock,NA
001,853.1,20,Rock,NA
001,854.5,13.33,Rock,NA
001,855.8,26.67,Rock,NA
001,857.2,80,Rock,NA
001,858.6,177.95,Rock,NA
001,860,50,Rock,NA
001,861.3,-6.67,Rock,NA
001,862.7,0,Rock,NA
001,864.1,0,Rock,NA
001,865.5,759,Rock,NA
001,866.8,-40,Rock,NA
001,868.2,390.3,Rock,NA
001,869.6,-197.65,Rock,NA
001,871,20,Rock,NA
001,872.3,6.67,Rock,NA
001,873.7,60,Rock,NA
001,875,0,Rock,NA
001,876.4,-20,Rock,NA
001,877.8,643.5,Rock,NA
001,879.1,20,Rock,NA
001,880.5,40,Rock,NA
001,881.9,50,Rock,NA
001,883.2,453.1,Rock,NA
001,884.6,0,Rock,NA
001,885.9,20,Rock,NA
001,887.3,40,Rock,NA
001,888.6,20,Rock,NA
001,890,20,Rock,NA
001,891.3,20,Rock,NA
001,892.7,20,Rock,NA
001,894,507.6,Rock,NA
001,895.4,0,Rock,NA
001,896.7,261.8,Rock,NA
001,898.1,80,Rock,NA
001,899.4,100,Rock,NA
001,900.8,40,Rock,NA
001,902.1,0,Rock,NA
001,903.5,13.33,Rock,NA
001,904.8,60,Rock,NA
001,906.1,50,Rock,NA
001,907.5,884.7,Rock,NA
001,908.8,40,Rock,NA
001,910.1,303.8,Rock,NA
001,911.5,616,Rock,NA
001,912.8,0,Rock,NA
001,914.1,40,Rock,NA
001,915.5,80,Rock,NA
001,916.8,0,Rock,NA
001,918.1,0,Rock,NA
001,919.4,60,Rock,NA
001,920.8,60,Rock,NA
001,922.1,0,Rock,NA
001,923.4,-351.95,Rock,NA
001,924.7,0,Rock,NA
001,926,-362.75,Rock,NA
001,927.3,738,Rock,NA
001,928.7,375.75,Rock,NA
001,930,383.4,Rock,NA
001,931.3,784.6,Rock,NA
001,932.6,0,Rock,NA
001,933.9,410.35,Rock,NA
001,935.2,60,Rock,NA
001,936.5,0,Rock,NA
001,937.8,20,Rock,NA
001,939.2,60,Rock,NA
001,940.5,40,Rock,NA
001,941.8,60,Rock,NA
001,943.1,10,Rock,NA
001,944.4,0,Rock,NA
001,945.7,-10,Rock,NA
001,947,0,Rock,NA
001,948.2,-60,Rock,NA
001,949.5,-20,Rock,NA
001,950.8,0,Rock,NA
001,952.1,0,Rock,NA
001,953.4,20,Rock,NA
001,954.7,2681.75,Rock,NA
001,956,1636.65,Rock,NA
001,957.3,555.45,Rock,NA
001,958.6,0,Rock,NA
001,959.8,0,Rock,NA
001,961.1,1172.6,Rock,NA
001,962.4,80,Rock,NA
001,963.7,100,Rock,NA
001,965,619.3,Rock,NA
001,966.2,0,Rock,NA
001,967.5,-20,Rock,NA
001,968.8,-20,Rock,NA
001,970.1,1332.7,Rock,NA
001,971.3,2716.8,Rock,NA
001,972.6,2079.6,Rock,NA
001,973.9,2121.45,Rock,NA
001,975.1,0,Rock,NA
001,976.4,0,Rock,NA
001,977.7,0,Rock,NA
001,978.9,1531.9,Rock,NA
001,980.2,0,Rock,NA
001,981.4,0,Rock,NA
001,982.7,10,Rock,NA
001,983.9,60,Rock,NA
001,985.2,40,Rock,NA
001,986.5,866.3,Rock,NA
001,987.7,0,Rock,NA
001,989,906.25,Rock,NA
001,990.2,925.5,Rock,NA
001,991.4,3788.2,Rock,NA
001,992.7,20,Rock,NA
001,993.9,0,Rock,NA
001,995.2,-20,Rock,NA
001,996.4,0,Rock,NA
001,997.6,3211.95,Rock,NA
001,998.9,1096.5,Rock,NA
001,1000.1,0,Rock,NA
001,1001.3,0,Rock,NA
001,1002.6,1102.2,Rock,NA
001,1003.8,1092.5,Rock,NA
001,1005,0,Rock,NA
001,1006.2,0,Rock,NA
001,1007.5,-1057.1,Rock,NA
001,1008.7,0,Rock,NA
001,1009.9,2084.5,Rock,NA
001,1011.1,0,Rock,NA
001,1012.3,0,Rock,NA
