cruise,clust_id,chl,adg443,bbp555
gloria,8,NA,2.53284360229345,NA
gloria,8,NA,2.62494700601321,NA
gloria,8,NA,2.57889530415333,NA
gloria,7,NA,3.08546402461202,NA
gloria,7,NA,3.03941232275214,NA
gloria,7,NA,4.37491167668868,NA
gloria,7,NA,3.3617742357713,NA
gloria,8,NA,2.48679190043356,NA
gloria,8,NA,2.71705040973297,NA
gloria,7,NA,2.44074019857368,NA
gloria,8,NA,2.30258509299404,NA
gloria,8,NA,2.3946884967138,NA
gloria,7,NA,2.48679190043356,NA
gloria,7,NA,2.48679190043356,NA
gloria,7,NA,2.57889530415333,NA
gloria,7,NA,3.08546402461202,NA
gloria,7,NA,2.3946884967138,NA
gloria,7,NA,3.45387763949106,NA
gloria,7,NA,2.76310211159285,NA
gloria,8,NA,1.79601637253535,NA
gloria,7,NA,2.3946884967138,NA
gloria,8,NA,1.28944765207666,NA
gloria,8,NA,1.1973442483569,NA
gloria,8,NA,1.33549935393654,NA
gloria,7,NA,1.98022317997487,NA
gloria,7,NA,1.15129254649702,NA
gloria,7,NA,1.4276027576563,NA
gloria,7,NA,1.38155105579642,NA
gloria,3,NA,1.01313744091738,NA
gloria,3,NA,0.921034037197618,NA
gloria,3,NA,0.874982335337737,NA
gloria,7,NA,3.45387763949106,NA
gloria,7,NA,3.54598104321083,NA
gloria,8,NA,1.65786126695571,NA
gloria,7,NA,3.31572253391142,NA
gloria,8,NA,NA,NA
gloria,3,NA,NA,NA
gloria,8,NA,NA,NA
gloria,3,NA,NA,NA
gloria,8,NA,NA,NA
gloria,8,NA,NA,NA
gloria,8,NA,NA,NA
gloria,3,NA,0.460517018598809,NA
gloria,1,NA,NA,NA
gloria,1,NA,0.414465316738928,NA
gloria,1,NA,NA,NA
gloria,1,NA,0.460517018598809,NA
gloria,7,NA,2.62494700601321,NA
gloria,7,NA,2.53284360229345,NA
gloria,7,NA,3.91439465808987,NA
gloria,7,NA,3.26967083205154,NA
gloria,8,NA,1.74996467067547,NA
gloria,8,NA,1.56575786323595,NA
gloria,8,NA,1.51970616137607,NA
gloria,8,NA,1.88811977625511,NA
gloria,8,NA,1.56575786323595,NA
gloria,8,NA,1.65786126695571,NA
