wavelength,class1,class2,class3
400,0.0745049053346357,0.0597124149244056,0.014508247965181
410,0.068328604980058,0.0599285630473798,0.0118244732967768
420,0.063502626546585,0.0603349863882103,0.00999569974121349
430,0.0613555294943107,0.0619541002722931,0.00882696448801851
440,0.0593366603460017,0.0640934898008356,0.00817515518710666
450,0.0675393785042089,0.0683530927178024,0.00893224882941541
460,0.0772733397277226,0.0723703901085738,0.00952065075336417
470,0.0781198277157454,0.0760654341636021,0.0106570833494125
480,0.0785840972786938,0.0801829185498453,0.012671460662524
490,0.0712937858251388,0.0834347363116522,0.0134096164946147
500,0.0694017546537114,0.0880147240200871,0.0146355004027385
510,0.0808252998877776,0.0945076272040008,0.0177111753325347
520,0.0877244766520239,0.101675637678492,0.0220240209114022
530,0.0857344055120829,0.107900567760741,0.0270339574417963
540,0.0828254490927337,0.112214511843771,0.0339303105315827
550,0.0823585200327752,0.117436012020958,0.046569315038984
560,0.0814923953896492,0.123818679700233,0.0704706785043595
570,0.0813773818993649,0.129061559352022,0.100984078403621
580,0.116952394395223,0.135357221663711,0.114740440408036
590,0.166155444552905,0.13921236188222,0.117508709863325
600,0.189784308819724,0.141993393192463,0.138879593143398
610,0.180676984127686,0.140989422205961,0.123065345321394
620,0.161153587853596,0.13865454004061,0.0902993098036026
630,0.158481057690417,0.139308365530415,0.0802295977397861
640,0.171600705329592,0.139430058841407,0.0779536991769736
650,0.183918894276877,0.140693138976497,0.0925885066616191
660,0.156050218082321,0.13421911182581,0.0510355727670714
670,0.107184270949929,0.124888608211198,0.0405042568998339
680,0.102954741399985,0.141824068082851,0.0851437791113417
690,0.140083675422556,0.178200989580534,0.18087163072713
700,0.259664952462621,0.211252339210371,0.473640019284717
710,0.53933515329692,0.251387390370605,0.867160175384895
720,1,0.358955427620488,0.999654852656195
730,1,0.563406592199711,1
740,0.999968618272932,0.514412816046222,0.999928996659403
750,1,0.441110050020351,0.999925174060351
760,0.977068204099532,0.420074481361619,1
770,0.884118829435421,0.310758684050295,1
780,0.823554822582599,0.242803583315171,0.988259116644546
790,0.559841859324503,0.325350719682704,0.851827652466751
800,0.357485231771027,0.168936151611874,0.743657946229871
