wavelength,Agar,CCA,Palma,Rock,Sacha,SachaBri,Sand
400,0.0096624968058902,0.0756607566440696,0.0072352670472627,0.0922632601804313,0.0162987838014663,0.0418373062254895,0.0452843400547964
410,0.00909171713823144,0.0705280476456429,0.00646450940220326,0.0912154786513124,0.0146609019344126,0.039074420738226,0.0451948528306737
420,0.00884298324672128,0.0667153752910046,0.00602622570667083,0.0938061792013883,0.0135881952208437,0.0375547649911691,0.0460774732617189
430,0.00868566176007501,0.0653192656620681,0.00588890137043097,0.099081680716421,0.0131631318341589,0.0370223421578707,0.0476251970261612
440,0.00874664905307436,0.0642247899491092,0.00589336445944697,0.104906197921443,0.0127916359762239,0.037414122309159,0.0491428160256856
450,0.00901109167949916,0.0720563418753275,0.00679516487848544,0.112885736643755,0.0134313503989643,0.0386555218764986,0.0523494192752091
460,0.00928373237675445,0.0820681350498064,0.00819581869239976,0.120636815664455,0.013972387228186,0.039509452243555,0.0556057885704108
470,0.00961193055025647,0.0855533033151453,0.00918039501154806,0.127820803955147,0.0147209790130231,0.0407013538161346,0.0577565135556272
480,0.0101257346303337,0.0873829588254043,0.0100920176027403,0.135641069160416,0.0161250060227746,0.0429143260686307,0.0596003342043008
490,0.0104355215094205,0.0818052227749717,0.00908545868237724,0.142527289664498,0.0168670088802104,0.0441141270176568,0.0604323489817731
500,0.010668909808642,0.0810685723019829,0.00878027806271145,0.150350513599819,0.0173801444668291,0.0451925045057148,0.0625471400636924
510,0.0111819543000032,0.0948262387035642,0.0113629988349976,0.160079459264795,0.0187693580712063,0.0476967261281499,0.0660400986124191
520,0.0118773070238373,0.104954586862006,0.0137867073342081,0.17025416417017,0.0206507206746296,0.0512208305961044,0.0693888193667134
530,0.0125852659855776,0.105045483773515,0.0135429022270837,0.179647340745621,0.0232477897018567,0.0557025098240962,0.0716585817484512
540,0.0135904550466484,0.103900289927849,0.012630485947807,0.187551799958779,0.0267485599286634,0.0610502517589992,0.0727947206659577
550,0.0152373027257121,0.104955440969831,0.0125098425730588,0.196098607970175,0.031756716980212,0.0688443741839206,0.0733110904564294
560,0.0184480868087728,0.103739228378507,0.0131235239719896,0.205423156348433,0.0406850308424688,0.0812086674591824,0.0744068786394481
570,0.0229165941901137,0.101472544674159,0.0136632953035019,0.212918213752336,0.0510814123169096,0.0955831298106555,0.0760444203005843
580,0.0259874615731117,0.128385863116537,0.0214081283428122,0.218884096909056,0.0559643958237633,0.102425176810533,0.0819077459307434
590,0.0273472526590922,0.155798177112392,0.0325032445082542,0.223433365844763,0.0569955580867998,0.104576443360525,0.0868442424164458
600,0.0312785356068874,0.166925153904411,0.0399487805509133,0.225103450308166,0.0632113526985275,0.11279991784653,0.0888177251040365
610,0.0290628331866706,0.160835287937266,0.0377379398982234,0.225058457837569,0.0577344331466877,0.108603634838303,0.0862008163381004
620,0.0240386688326286,0.150351327451661,0.0314819224474402,0.22559899175343,0.0466698728129141,0.0963287950876612,0.0849568629791641
630,0.0227848969261998,0.15085343992227,0.0312281940994146,0.227626956365053,0.0432618929502504,0.0919703692709102,0.0856434522611207
640,0.0226430590888951,0.161740079655665,0.0361267983671555,0.229218005657963,0.0426256131530637,0.0919730655349432,0.0869367026828083
650,0.0252791134210907,0.17045327678395,0.0411696908997867,0.229580891017525,0.0470925040809483,0.0980297330110968,0.0881115944230537
660,0.0199127024276051,0.149295170445276,0.034725631955713,0.223530444266826,0.0329469883341056,0.0747555471393501,0.0849365281972298
670,0.0233150985201141,0.1089005484643,0.0224071734483102,0.214293126617669,0.0261235160718243,0.0564776939640886,0.0785080288821038
680,0.0439050321506029,0.100367335454545,0.022885475098249,0.227994855468996,0.0397583869664049,0.0700827105765344,0.0791565724139517
690,0.0747904949511921,0.129706449710369,0.0356117494955437,0.259789725847861,0.0736772386630476,0.118578821270646,0.087302927375378
700,0.146275355639134,0.213384770777021,0.078737274152549,0.273917912220521,0.157168720832545,0.225688575953189,0.104925017304178
710,0.296256703495091,0.35972778947324,0.232606127575371,0.295608858974109,0.267540760668355,0.336413924265438,0.128308803387157
720,0.645624097742924,0.666439593901397,0.680193402240534,0.365021072050295,0.466542808584814,0.501382143888625,0.172721249463143
730,0.999980491107995,0.818335325020301,0.989598982198002,0.384604279552429,0.656464689010047,0.685774705151542,0.202047479273356
740,1,0.697519384505869,0.879725680481732,0.369584491713364,0.643261902952855,0.655488207728466,0.182974820986451
750,0.916053453587312,0.61710997602358,0.780703265657807,0.398647598441189,0.58194311778237,0.582327504450651,0.153221588434094
