instrument;stationID;latitude;longitude;rhow_350;rhow_355;rhow_360;rhow_365;rhow_370;rhow_375;rhow_380;rhow_385;rhow_390;rhow_395;rhow_400;rhow_405;rhow_410;rhow_415;rhow_420;rhow_425;rhow_430;rhow_435;rhow_440;rhow_445;rhow_450;rhow_455;rhow_460;rhow_465;rhow_470;rhow_475;rhow_480;rhow_485;rhow_490;rhow_495;rhow_500;rhow_505;rhow_510;rhow_515;rhow_520;rhow_525;rhow_530;rhow_535;rhow_540;rhow_545;rhow_550;rhow_555;rhow_560;rhow_565;rhow_570;rhow_575;rhow_580;rhow_585;rhow_590;rhow_595;rhow_600;rhow_605;rhow_610;rhow_615;rhow_620;rhow_625;rhow_630;rhow_635;rhow_640;rhow_645;rhow_650;rhow_655;rhow_660;rhow_665;rhow_670;rhow_675;rhow_680;rhow_685;rhow_690;rhow_695;rhow_700;rhow_705;rhow_710;rhow_715;rhow_720;rhow_725;rhow_730;rhow_735;rhow_740;rhow_745;rhow_750;rhow_755;rhow_760;rhow_765;rhow_770;rhow_775;rhow_780;rhow_785;rhow_790;rhow_795;rhow_800;rhow_805;rhow_810
HyperSAS;PSO2;49.4202611111111;-63.6316722222222;-0.000479041703336035;-0.000325633395411073;-0.000180299755531794;-4.44854324226162e-05;7.94019523272238e-05;0.000312141372074224;0.000635450780803024;0.00094850340064412;0.00107431267013884;0.00103573025260834;0.00093684591545299;0.000903655141001251;0.00096646752404839;0.00106463699667399;0.00112939105709137;0.00118969976022256;0.00132844513450049;0.00158452682274258;0.0019123941921389;0.0021935100989564;0.0024064196580209;0.00259425700599503;0.00276649772302844;0.0029764052166105;0.00326570382032314;0.00358575664273439;0.00386752920738477;0.0041069434203669;0.0043122921694263;0.00449833648830368;0.00466630360001764;0.00473424022206534;0.00471890037334257;0.004739767695562;0.00484132222521674;0.00503289068888739;0.00520156215153964;0.00523750517043714;0.00519899373457544;0.00515123821177307;0.00513098612056143;0.00513623423081954;0.00509940123068187;0.00496455093696374;0.00473598723804967;0.00445119076315988;0.00401800139343798;0.00334977028152448;0.00254496840802246;0.00183984363110423;0.00143311819260192;0.00126574810614486;0.00116187097007012;0.00107068018752191;0.000959414346716525;0.000823899264275543;0.000695418311566411;0.000589760576279514;0.000541293430644273;0.000495434321304211;0.000393502483694032;0.000303884478477634;0.000259719909685908;0.000259328629802338;0.000332335245347935;0.000454880841602488;0.000524700551606431;0.000511152423542381;0.000442989228507833;0.000369030267944449;0.000373410607587135;0.000382014010716807;0.000231776237761463;4.04335520858927e-05;-0.000227293016700257;-0.000402344038423843;-0.000360656248711007;-0.000192490619788557;-7.51475364945435e-05;2.37402274437285e-05;-0.000198804121201961;-0.000584988512201858;-0.000881834663572638;-0.000709053371030702;-8.97457705676161e-05;0.000350707208444326;0.000132338802470586;-0.000164473340083074;-0.000192670429823512;-0.000156200471965514;-5.84637124153304e-05;0.000105225448417297;0.000333040487027179
HyperSAS;PSO3;49.4047388888889;-63.6514277777778;-0.000674027773305071;-0.000406402890784879;-0.000175651743753606;1.63039731359771e-05;0.000166868437602481;0.000392675238775298;0.000672525221135043;0.000938310167178681;0.00105521461554607;0.00106084420022219;0.00103669871623447;0.00106335230895328;0.00115765643432867;0.00127461553079109;0.0013711877651142;0.00146587099681681;0.00161745870902101;0.00186487289949992;0.00217179157425161;0.00243874911488254;0.00265056226743844;0.00284062846424142;0.00301619743870872;0.00322026636289286;0.0034838468377998;0.00376764678385086;0.00401688645869772;0.00423041245615836;0.00441609120924669;0.00457999424838111;0.00471845364881617;0.00477355538667401;0.00476885229038622;0.00480038073289372;0.00489533019874727;0.0050546642034111;0.00519069980463423;0.00521700898614016;0.00517791262136833;0.00512731066411425;0.00509620462099045;0.00508660645326504;0.00504328663903461;0.00491854145075316;0.00471959380755734;0.0044798833839563;0.00412511494694049;0.00358114281618293;0.00292395698054237;0.00233971746698813;0.00198463247262465;0.00181857466620881;0.00171383571858806;0.00163316629246226;0.00153342071270743;0.00139975822036164;0.00126946764188114;0.00117490387790049;0.00112978657881158;0.00107146435611731;0.000961155214517945;0.000869668722953457;0.000838327158047477;0.000854615294074355;0.000920659069450829;0.00101403648118303;0.00104136568792124;0.000973872691707519;0.000850868467425221;0.000734141983805601;0.00070450561275803;0.000691210304051693;0.000530056982961256;0.000329125918351866;4.96648473209374e-05;-0.000129506021100531;-8.55769693278757e-05;8.86244377878039e-05;0.000203040111522293;0.000267126727154224;5.08947340255088e-05;-0.000303084322949111;-0.000593796723125117;-0.000489489290204444;8.73470016387397e-07;0.000360228815218051;0.000197701254767014;-4.81368138434705e-05;-0.000105182773038279;-0.00010492044543817;-6.95355035480096e-05;7.00359904031781e-06;0.000122467956081209
HyperSAS;PME1;49.7174807692308;-64.2128782051282;9.8137525745981e-06;9.81286724821201e-06;7.55083086881896e-06;4.40269053272606e-07;-1.19842483361091e-05;2.92598491325633e-05;0.000101913094043052;0.000194786688734367;0.00024741242748222;0.000267212615065133;0.000293406253373911;0.000359638932636539;0.000474158037455357;0.000615427205389314;0.00076087506392336;0.000915179800276288;0.00109329158944139;0.00130890305175082;0.00155453632258957;0.00179560509758058;0.0020242204311663;0.00225012228892311;0.00247803860906404;0.00272429736669508;0.00299157305567937;0.00326313156970808;0.00352095730600884;0.00375599712133444;0.00395960650489222;0.00412378587115366;0.00423522271475403;0.00426557650319945;0.00424016312682303;0.00423644136462767;0.004298148997553;0.00441649879994325;0.00452001498128425;0.0045480549838064;0.00450644060159387;0.00441726553269642;0.00431118227948142;0.00421229691427387;0.00411105869677252;0.00397249773634236;0.00376242558768595;0.00347302375992211;0.00310118937658807;0.00264920399415539;0.00215370967279253;0.00168872275511575;0.00133548959753612;0.00112298799378239;0.00101473125039105;0.000955213890669337;0.000895670691714113;0.000827370355962411;0.000765190916838165;0.000718030617273908;0.000689662300637444;0.000662719436795168;0.000617409772019926;0.000567068845337141;0.00054074376248263;0.000566113330963006;0.000647070435930638;0.000742027245203052;0.00078615510815887;0.000746351894755772;0.000642720556762752;0.000526481602583507;0.000439086100743977;0.000378159045812318;0.000313124786254017;0.000250270563385579;0.000180362208314442;0.000124430293174389;9.79319537051568e-05;9.10437656988504e-05;8.66131182449327e-05;8.73803715117299e-05;7.36526957185269e-05;4.3386134128276e-05;1.54226965581523e-05;1.3272338128321e-05;4.22297097930107e-05;6.65271100049917e-05;5.12285376904732e-05;2.3757992325962e-05;2.51299738726069e-06;-2.02255893655027e-05;-2.77489659439971e-05;-2.32351806868825e-05;-5.84455745664934e-06
HyperSAS;PME2;49.7414902777778;-64.2540319444444;-0.000136489359967682;-9.69653572363929e-05;-5.5045032336251e-05;-1.30138284312678e-05;2.88332393011796e-05;0.000127212406329326;0.000258371178219925;0.000403887669275536;0.000503998222559652;0.000573561870350048;0.000651581085866955;0.000768529641248063;0.000929677716386875;0.00111452887178984;0.00130607178708594;0.00150951241280696;0.00173587605049123;0.00199684491512614;0.00228738348144122;0.00257823540874991;0.00286221617143878;0.00314525755680985;0.00342895963482593;0.00372965662062592;0.00405027338570201;0.00437338526801427;0.00467920804744164;0.00495690371430719;0.00519514090252862;0.00538442236445416;0.00551193641909835;0.00554662489820209;0.0055185644236208;0.00551612048499594;0.00558717167750796;0.00572120288967093;0.00583784945348756;0.00587064106773779;0.00582422480483152;0.00572099191323143;0.00559807977075791;0.00548530262391632;0.00537234809919821;0.00521732665379706;0.00497519170394261;0.00462185780022166;0.00414541087587019;0.00355876039930756;0.00291834832097323;0.0023235473633548;0.00187142961530773;0.00159636204337638;0.00145847089691771;0.00138442440714668;0.00131277905152752;0.00123030493252387;0.00115124377977357;0.00108694231477349;0.0010408898046446;0.000995152239466762;0.000930594642396451;0.000860278872064687;0.000812001250568837;0.000811882760975666;0.000861286835666424;0.000924572850030047;0.00094761768604316;0.000900348366452059;0.000798676993252825;0.000681058171278965;0.00058086322724143;0.000498868380801291;0.000414612524646165;0.000333042261614173;0.000248260850193549;0.000180114443532598;0.000141925111217379;0.000124629920412927;0.000111870328554033;0.000105998872318276;8.90054296094112e-05;5.94146123642351e-05;3.32552825632378e-05;3.14977562883346e-05;5.56388059140729e-05;7.35542026416189e-05;5.65983123858254e-05;3.21294166142903e-05;1.76236155552041e-05;2.66951959056091e-06;-1.52324924522914e-05;-3.5454532770695e-05;-5.83016312242503e-05
HyperSAS;PME3;49.72194;-64.2587966666667;0.000549730016876541;0.000339831667595858;0.000149746572046068;-2.3359478601764e-05;-0.000179624590541403;-0.000271166039033296;-0.000320066238680607;-0.000330739143240163;-0.000349915436059779;-0.000370353215514029;-0.000371724846671411;-0.000346968837768125;-0.000300758987114602;-0.000249676971764876;-0.000197115060046096;-0.000129774764407223;-3.64973600959693e-05;9.48461295165082e-05;0.000259579380039281;0.000429696097824785;0.000594289126095147;0.000756760777723064;0.000920847470173348;0.00110224031631529;0.00130540605168549;0.00151401410494667;0.00170866337869097;0.00188364817284281;0.00203733391349051;0.00217514401254271;0.00230383703919536;0.00240919735153339;0.00249854396988602;0.00260290875281044;0.0027335228473782;0.0028885231536478;0.00302882266928782;0.00311841936732548;0.003166818835021;0.00318941223751443;0.00320349700564257;0.00321817325184882;0.00322038174578446;0.00318710058731499;0.00310227761668286;0.0029631626178322;0.00275664399387147;0.00246732851464407;0.00210845522276124;0.00174398346106086;0.00145339876210051;0.00126704832270238;0.00116112333279315;0.00109277370024441;0.00102478702059134;0.00095098625158562;0.000882002190046002;0.000828179712358344;0.000796082942319777;0.000765089230078049;0.000709168084420575;0.000643301391267412;0.00060396731094175;0.00062602445306798;0.000718953239497861;0.000842893840252524;0.000926773643467194;0.000925874366295337;0.000847917802033875;0.000737778721295166;0.000642981529106264;0.000567390723417215;0.00048377907284886;0.00040064084267418;0.000309626700758648;0.000236957695204109;0.000201840844601848;0.000191371370936994;0.000181894755615057;0.000177209839915348;0.000145444149830361;9.32849071526152e-05;4.82052828884637e-05;4.88853435090634e-05;9.75882562489014e-05;0.00013196010911038;0.000100181936545283;5.43861868617557e-05;2.91128930550089e-05;4.32218689357714e-06;-2.61226935229745e-05;-6.07005678140501e-05;-0.000100150617600603
HyperSAS;PME4;49.7437883333333;-64.2958016666667;-0.000136721266495959;-0.000101554105615213;-6.08286040674504e-05;-1.70426662400251e-05;3.12215645631153e-05;0.000128302288901105;0.000246203234866766;0.00037207285849354;0.000456175557946098;0.000514580192379053;0.000581976459706498;0.000682377526991158;0.000822086793428542;0.000985199069607719;0.00115824453939934;0.00134086075266332;0.00154060650117214;0.00176806327581817;0.00201846484879755;0.00226498659165026;0.00250084197773892;0.0027360243893807;0.00297517130956081;0.00323012910639428;0.00350008407782882;0.00376877148141777;0.00402088109671909;0.00424556104972139;0.00443070211863338;0.00456613717628144;0.00463940487169035;0.00462910585970884;0.00456599785169706;0.0045274977784202;0.00455458134320288;0.00463495130387766;0.00469943733117657;0.00469312061521013;0.00462276175789268;0.00450847343563923;0.00438097682927613;0.00426390733267479;0.00414853240324118;0.0040037397800867;0.00379674086625395;0.00351493348766039;0.00315356949664824;0.00271952719911012;0.0022475779644136;0.00180409027354912;0.00146176091223813;0.00124859992724008;0.00113753673811206;0.00107496867401543;0.00101285935982694;0.000943159013686668;0.000877924787908022;0.000825189956970114;0.000788238077372007;0.000752776387850152;0.000702307410432062;0.000646647694961306;0.000608808688886343;0.000609270092494198;0.000649644345091406;0.000699158779241823;0.000713392391912929;0.000673026202871792;0.00059253409718434;0.000502451036109891;0.000427979184667919;0.000366238948356061;0.000298035683323101;0.000230203364361593;0.000156902338357715;0.000100401774707301;7.47855634859205e-05;6.97043031592315e-05;6.610930029664e-05;6.48885705950033e-05;5.03089671281493e-05;2.18753753480943e-05;-3.44663856612995e-06;-5.18530274623522e-06;2.30617283916962e-05;4.87966884622477e-05;4.08136007300064e-05;2.06988856832274e-05;5.62217436354311e-06;-8.70236701776678e-06;-1.71882448520544e-05;-2.09824074632445e-05;-1.97605737361935e-05
HyperSAS;PME5;49.7604233333333;-64.32376;1.13380005633182e-05;-8.63516995860008e-07;-6.84614548715456e-06;-9.02400850881448e-06;-7.34693363871567e-06;4.69032063826461e-05;0.000135431162679965;0.000243263213181252;0.000311250634492686;0.000346872320736384;0.000385356853476745;0.000458744328496959;0.000578538411101675;0.000729630123046915;0.000896413831004825;0.00107903191178414;0.00128286131681159;0.00151733319459857;0.00177633777249991;0.00203402110752561;0.0022870816228466;0.0025452545127954;0.00281103926309892;0.00309717739369889;0.00340494175332704;0.0037159276839275;0.00401050474263485;0.00427548817656214;0.00449663409346035;0.0046638249164145;0.00476308617946683;0.00476656853265044;0.00470742383555909;0.00467425068309571;0.00471531183714709;0.00481930821160209;0.00490524106855742;0.00490819032958024;0.00483675061548379;0.0047136269145695;0.00457483299043642;0.00444919123521176;0.00432627396015767;0.00416972575981175;0.00393976054536367;0.00361971689659788;0.00320674488004332;0.00271570762603103;0.00219572913360917;0.00172332151602272;0.00136974538078795;0.00115466196622786;0.00104310030343046;0.000981526104731451;0.000921481632532226;0.000853879370081267;0.000791437619033389;0.000742687415410095;0.000711980320558869;0.000681009899221469;0.000632153698407693;0.000579180605827963;0.000544830652453042;0.000548120333677896;0.000589868267556977;0.000640936261370835;0.000657943330579306;0.000621590247847161;0.000547371645394468;0.000466646894677094;0.000403011924355825;0.000348842266628041;0.0002843757965857;0.000219529403496663;0.000148724883691434;9.54143948513363e-05;7.40882988747398e-05;7.38671381051673e-05;7.38183602107652e-05;7.56148879939293e-05;5.76842461761431e-05;2.43609681235337e-05;-4.50158859985205e-06;-6.52590042228022e-07;3.92290562852248e-05;7.13195327588744e-05;5.60018762426418e-05;2.75618106217847e-05;1.03984380119553e-05;-4.53632514099697e-06;-1.80068343900421e-05;-2.99270655537033e-05;-4.05298451760464e-05
HyperSAS;PME6;49.7752651515151;-64.3491075757576;0.000593618731753245;0.000360567445834976;0.000156562088484836;-2.06469467054576e-05;-0.00017391648102283;-0.000242604379168015;-0.000244306203258294;-0.000209260659742479;-0.000205511314022161;-0.000225775585476448;-0.000233266428001875;-0.000191770929161766;-8.8735735110816e-05;6.07920500226703e-05;0.00023392080318881;0.000436315973916488;0.000686352845956848;0.000997878859537107;0.00135846068322808;0.00172610585695071;0.00209524193240485;0.00247789143979937;0.00287735721105852;0.00331191035926738;0.00378167489606717;0.00425881980501185;0.00471359493330723;0.00513957227857914;0.0055328807056988;0.00589010607609218;0.00619765400378594;0.00640674548204969;0.00654397229534039;0.00671075411417403;0.00696480998127917;0.00730171223397467;0.0076158755960804;0.00781435517257531;0.00790614020163434;0.00792072999959448;0.00790725384912457;0.00790104161541872;0.00788096464955678;0.00779506739124581;0.0075824966081529;0.00719507349798416;0.0065945382247332;0.00578837147959935;0.00486074225498502;0.00396652576188415;0.00326806078189809;0.0028345726186481;0.00262384051050386;0.00252850348419986;0.00243792368270567;0.00232755841113796;0.00222144359537658;0.00213686182215797;0.00208142766061964;0.00201873547308221;0.0019103397142121;0.00177917814502486;0.00166803425680428;0.00161260208452938;0.00162206347794481;0.0016579784696259;0.00166065465460553;0.00160304194436441;0.00149055379786387;0.00134824804475713;0.00120530625620747;0.00105437350483797;0.000876738616522248;0.000694361832256104;0.000502477877784962;0.000348509930448762;0.000258279207870737;0.00021205879046233;0.000178596359879331;0.000164680368671892;0.000126782168220004;6.56249244700704e-05;1.51199118607676e-05;2.55178292107392e-05;9.54697974244779e-05;0.000142191305635948;0.000103927630798393;5.30343035801147e-05;2.95435136132502e-05;5.8635700343588e-06;-2.50943684025894e-05;-6.14545925403595e-05;-0.000104146433183122
HyperSAS;PME8;49.76236875;-64.4033395833333;0.000113144453322446;7.56600734056562e-05;3.92678404575375e-05;1.12835964897217e-06;-3.79171102446617e-05;-2.86175145384316e-05;1.03086430617554e-05;6.85370936177053e-05;8.53253498170823e-05;7.10232489225968e-05;6.20941672234202e-05;8.81428153724831e-05;0.000156872829201956;0.00025041678036448;0.00035302840599526;0.000465965902212077;0.000601429693622887;0.000774562742011034;0.000979189882130763;0.00118268288396946;0.00137532820306001;0.00156611089146402;0.00175870539772176;0.00196739190157017;0.00219509055166952;0.00242527697647512;0.00263843669477585;0.00282546453042189;0.00298444155206641;0.00312230343427916;0.00325082751400189;0.00336091132548738;0.00346242610791424;0.00358288656316968;0.00372702785944178;0.00389252434717307;0.00404118987149506;0.00413812686423813;0.00419583745226936;0.00423221250918844;0.00426770939853121;0.00430807538687624;0.00433107845870663;0.00430838808130467;0.00422502410213132;0.00407834239810783;0.00384793575692902;0.003514932061574;0.00309683302280547;0.0026598165840184;0.00229559973425006;0.00205060330913227;0.0019110092665511;0.00182893079861009;0.00174217380784627;0.00163813912925723;0.00154164437921758;0.00146952405537009;0.00142390310638822;0.00137502471721314;0.00129586419611074;0.00120598228260784;0.00114918600246358;0.00117060488201767;0.00128289823807179;0.00143339666624653;0.00152144688372793;0.00147970002874717;0.00132196571336892;0.00111884870176085;0.000942705609320863;0.000802474999940431;0.000658160213312587;0.000520208314516234;0.00037555580184485;0.000263392124863827;0.000211281043116469;0.000199693570149172;0.000189505958727738;0.000181140922087353;0.000147238872244597;8.73725571286505e-05;3.12312687635235e-05;1.98612441636496e-05;6.35613602136584e-05;0.000102085374228765;8.17787375001553e-05;4.27955840908675e-05;1.46352367351615e-05;-1.28723926996652e-05;-3.20002538485259e-05;-4.43984678980042e-05;-4.97077301886699e-05
HyperSAS;PME9;49.7368666666667;-64.3596212121212;0.000130901000293066;7.90168649696553e-05;3.32255253728198e-05;-9.19275228241662e-06;-4.68040599231813e-05;-3.48497982945804e-05;1.15160995050684e-05;7.6794155877562e-05;9.94564258092405e-05;9.0998598663667e-05;8.66835770253605e-05;0.000117402190504118;0.000189307859283;0.000286720630391951;0.000394914576774387;0.0005142170088826;0.000654483587050057;0.000831482283432756;0.00104643139692883;0.00126896046801866;0.00148530295295035;0.00169635689724591;0.00190343198050359;0.00212757106983632;0.00237770836563562;0.00263748032505462;0.00288431566710599;0.00310683248213065;0.00330169393037647;0.00347659878440478;0.00364469915195132;0.00379273534999306;0.00392827887709385;0.00408206805266927;0.00426075043566271;0.00446122895576355;0.00463970660713004;0.00475782469188953;0.00482987407981568;0.00487542555992106;0.00491917762348867;0.00497029603220283;0.00500426034223113;0.00498581632040686;0.00489433045142205;0.00472639419575399;0.00445819427475627;0.0040644493697606;0.00356146845087644;0.00302654771635849;0.00257423104574245;0.00226947613146009;0.00210100088832511;0.00200936495495362;0.00191723380231901;0.00180561022148859;0.00170148950994759;0.00162429101474024;0.00157441485281086;0.00151934249772411;0.00142900212646922;0.00132675639274953;0.00126887888929162;0.00131434424008417;0.00148400828815989;0.00170714941231529;0.00184299360587372;0.001792133558439;0.00157319870747379;0.00129460533035179;0.00105794251632804;0.000878649532437152;0.000708068435590962;0.000552997071094968;0.000399343136759203;0.000277392092371083;0.000211369216509928;0.000185169571636807;0.000165279597797347;0.000153212090209739;0.00012657286533745;7.68741858437747e-05;3.12403680719872e-05;2.12251360545349e-05;5.5108783889536e-05;8.72411342339356e-05;6.90846360371047e-05;3.33534219778167e-05;1.18383576604769e-05;-5.79766041047203e-06;-2.2049872578425e-05;-3.64270882592094e-05;-4.93230213363749e-05
