"station_id","sample_id","project","station","boat","date","time","datetime","lat","lon","station_waterbody","water_depth","SZ","FU","sampling_type","depth","sal","Chl","PHAEO","SPM","PIM","DOC","TOC","DN","TN","NO2","NO3","PO4","SiO4","pico_PE_CYAN","nano_PE_CYAN","picoeukaryote","nanoeukaryotes","pico_PC_CYAN","nano_PC_CYAN","LNA","HNA","Chl_c3","Chlide_a","Mg_DVP","Chl_c2","Chl_c1","Me.chlide_a","Perid","Chl_a_deg","Phide_a","Chl_a_deg.1","But.fuco","Fuco","Neo","Pras","Viola","Hex.fuco","Diadino","Anth","Allo","Diato","Zea","Lut","Croco","Chl_b","Chl_a_deg.2","Chl_a_allom","MV_Chl_a","Tot_Chl_a","Phytin_a","beta.epi.Car","beta.beta.Car"
"wiseman-OUT-F01-2019-08-18T17:58:00Z","wiseman-11","wiseman","OUT-F01","kildir","2019-08-18","17:58:00","2019-08-18T17:58:00Z",49.00568,-68.60852,"ocean",3,2.25,17,"surface",0,16.2565,5.298181818,0.936113039,7.0505,5.3235,3.356,3.383333333,0.148633333,0.159266667,0.092,3.001,0.193379245,29.79731146,394,250,12711,6150,278,83,571333,2096472,0.0089723,0.072056147,0.053126355,0.481144862,0.079838146,NA,0.696673967,NA,0.116405706,NA,0.020292952,0.526483448,0.078719876,0.043500995,0.105600797,0,0.370876815,NA,0.707782426,0.027894886,0.012669009,0.02281845,0.04878229,0.429947942,NA,NA,4.766827308,4.838883455,0.086726468,0.04537054,0.15436002
"wiseman-OUT-F03-2019-08-18T19:12:00Z","wiseman-12","wiseman","OUT-F03","kildir","2019-08-18","19:12:00","2019-08-18T19:12:00Z",49.01753,-68.60864,"ocean",3,1.8,17,"surface",0,16.257,6.337634632,0.926828606,5.302921569,3.608215686,3.597333333,3.614,0.145266667,0.162033333,0.162,2.755,0.153914093,29.69310737,450,344,13806,7239,339,100,484056,1857750,0.053263494,0.277112679,0.233415024,1.639006416,0.399282229,NA,3.125942136,NA,0.221622694,NA,0.074931677,1.417069595,0.246943451,0.112802346,0.275412172,0,1.612560868,NA,2.176441243,0.085245285,0.045501858,0.090397825,0.168862468,1.303803384,NA,NA,16.07527356,16.35238624,0.251948031,0.101322072,0.370910338
"wiseman-OUT-F18-2019-08-18T21:15:00Z","wiseman-13","wiseman","OUT-F18","kildir","2019-08-18","21:15:00","2019-08-18T21:15:00Z",49.02487,-68.37059,"ocean",76,3.5,16,"surface",0,24.1039,4.607904416,0.688581984,4.963125,3.355625,2.107,2.324,0.10147,0.1216,0.038,0.087,0.12238224,11.23917211,9039,83,15700,8533,39,6,591111,1639694,0.034846349,0.129093623,0.059080634,0.517761466,0.103242047,NA,0.457173026,NA,0.185271857,NA,0.019939176,1.736320264,0.046708957,0.088210407,0.058132298,0.047127084,0.593316669,NA,0.181486983,0.075689652,0.021598937,0.029423924,0.016603074,0.416374921,NA,NA,4.520191089,4.649284712,0.080761299,0.001147491,0.084349297
"wiseman-OUT-F21-2019-08-18T22:37:00Z","wiseman-14","wiseman","OUT-F21","kildir","2019-08-18","22:37:00","2019-08-18T22:37:00Z",49.05396,-68.33538,"ocean",5.8,3.5,18,"surface",0,20.623,5.187172294,0.674130563,21.8225,18.01875,2.667,2.821333333,0.109733333,0.144866667,0.087,0.244,0.114466708,19.27094747,10261,317,18128,9028,183,28,582056,1674583,0.013497635,0.111875463,0.04678643,0.431490925,0.072465273,NA,0.275269191,NA,0.109337842,NA,0.011367221,1.421855049,0.034046764,0.047803218,0.034420822,0.030119254,0.337524423,NA,0.312725183,0.034121939,0.016925859,0.019981021,0.023457723,0.311577915,NA,NA,3.969530376,4.081405839,0.057680946,0.006878196,0.067831132
"wiseman-OUT-F23-2019-08-18T23:35:00Z","wiseman-15","wiseman","OUT-F23","kildir","2019-08-18","23:35:00","2019-08-18T23:35:00Z",49.0681,-68.31654,"ocean",5,2.15,17,"surface",0,19.8539,4.934877922,0.633359792,6.180666667,4.477666667,2.861666667,2.936,0.112466667,0.121466667,0.315,1.462,0.144283646,17.78984085,12022,228,21589,7267,256,50,544833,1428333,0.015302787,0.090926491,0.052574577,0.425503015,0.07624443,NA,0.423664221,NA,0.123729661,NA,0.022095235,1.244399332,0.031998994,0.047689782,0.038890287,0.034153257,0.335669436,NA,0.286089308,0.032802278,0.018674871,0.021596001,0.025733956,0.29246191,NA,NA,3.763082749,3.85400924,0.058621307,0.008046517,0.076766984
"wiseman-MAN-R25-2019-08-19T14:45:00Z","wiseman-16","wiseman","MAN-R25","saucier","2019-08-19","14:45:00","2019-08-19T14:45:00Z",49.009,-68.28663,"ocean",95,3.25,NA,"surface",0,26.4661,5.63121039,0.460992277,4.46,3.023,1.412333333,1.546333333,0.114633333,0.142033333,0.167,1.865,0.237843994,6.213999945,50,300,20883,6100,67,0,432972,1464917,0.018228845,0.229910456,0.109763708,0.600217539,0.104402867,NA,0.628305087,NA,0.131700995,NA,0.015258675,1.695737218,0.03388733,0.058084239,0.051560096,0.039359275,0.507168242,NA,0.381756546,0.051729326,0.019750296,0.025801642,0.025710318,0.23720392,NA,NA,4.503548179,4.733458635,0.074655993,0.011403495,0.127140434
"wiseman-MAN-R24-2019-08-19T16:07:00Z","wiseman-17","wiseman","MAN-R24","saucier","2019-08-19","16:25:00","2019-08-19T16:25:00Z",49.02813,-68.28871,"ocean",77,4.75,NA,"surface",0,26.0741,2.779274805,0.396485652,18.62666667,15.51666667,1.650666667,1.837333333,0.086756667,0.10075,0.031,0.052,0.049657095,3.134522503,1461,44,15794,5839,78,0,578167,1337722,0.028588937,0.079488426,0.031279227,0.292696083,0.058754405,NA,0.189856978,NA,0.084368404,NA,0.010066976,1.014646924,0.013420701,0.045127578,0.031520225,0.033892506,0.252551659,NA,0.093896373,0.02714826,0.011821425,0.007669311,0.008611811,0.16158773,NA,NA,2.22282737,2.302315796,0.036153232,0,0.044794129
"wiseman-MAN-R23-2019-08-19T16:39:00Z","wiseman-18","wiseman","MAN-R23","saucier","2019-08-19","16:39:00","2019-08-19T16:39:00Z",49.0441,-68.2885,"ocean",48,3.25,NA,"surface",0,23.2336,5.025703896,0.906645056,3.950666667,2.597,2.223666667,2.392666667,0.093673333,0.1076,0.037,0.066,0.105337781,13.01877298,9872,128,21678,6772,133,11,632433,1567967,0.03314517,0.233884165,0.062359455,0.559457982,0.127292125,NA,0.391417783,NA,0.174231116,NA,0.016712226,1.970897963,0.046432705,0.070315383,0.054416236,0.048100933,0.438526714,NA,0.256137264,0.04330014,0.015691609,0.016444165,0.023551323,0.364726334,NA,NA,4.746199747,4.980083912,0.082392925,0.007736347,0.116400821
"wiseman-MAN-R22-2019-08-19T17:30:00Z","wiseman-19","wiseman","MAN-R22","saucier","2019-08-19","18:12:00","2019-08-19T18:12:00Z",49.0599,-68.2865,"ocean",9,3.25,NA,"surface",0,22.7699,5.025703896,1.030975723,9.884666667,8.144,2.369,2.432666667,0.1037,0.1257,0.121,1.105,0.272437493,17.2439602,13807,607,20407,5040,133,53,625233,1705300,0.024041839,0.091281699,0.075673688,0.459900514,0.091548168,NA,0.179365821,NA,0.137348473,NA,0.035069378,1.376195073,0.060656252,0.071472243,0.05733393,0.036982674,0.261573516,NA,0.567227598,0.032952972,0.025558149,0.021282955,0.047189557,0.610910586,NA,NA,4.947293003,5.038574702,0.099944031,0.038024034,0.15482881
"wiseman-MAN-R22-2019-08-19T17:30:00Z","wiseman-20","wiseman","MAN-R22","saucier","2019-08-19","18:12:00","2019-08-19T18:12:00Z",49.0599,-68.2865,"ocean",9,3.25,NA,"subsurface",5,28.0061,3.816709264,0.888318393,10.90933333,9.033,1.478333333,1.506666667,0.130066667,0.144766667,0.122,2.623,0.403833586,6.441505001,3294,50,7044,4028,72,11,436611,1152583,0.04867428,0.088331512,0.037835984,0.495371525,0.145376692,NA,0.089803741,NA,0.197113634,NA,0.059849859,2.531982086,0.010286534,0.02757176,0.013361761,0.03217479,0.163861228,NA,0.063709356,0.037890348,0.011189496,0.006276329,0.009235014,0.107950017,NA,NA,3.787376946,3.875708458,0.119822398,0,0.104798432
