sample_id,station_id,project,station,datetime,date,time,lat,lon,depth,nap_method,wv_deviation,wavelength,ad
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,321,0.370484851660686
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,322,0.367254452013716
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,323,0.36229270904815
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,324,0.359298761080046
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,325,0.354173518613916
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,326,0.351306273290014
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,327,0.352744567585351
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,328,0.354517434549517
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,329,0.348896170067859
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,330,0.352401060071039
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,331,0.343364286097237
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,332,0.340484215562283
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,333,0.3410075008658
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,334,0.336866241959309
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,335,0.334771466475751
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,336,0.329077756433729
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,337,0.329204757592061
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,338,0.32468640878352
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,339,0.324299318205147
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,340,0.319191376342777
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,341,0.317716457962342
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,342,0.313396526584531
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,343,0.312099584371937
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,344,0.308573208158202
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,345,0.30711346783242
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,346,0.304801861768509
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,347,0.303274849550935
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,348,0.302492614284816
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,349,0.299742858717161
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,350,0.292918032601611
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,351,0.289523909203986
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,352,0.285545844330828
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,353,0.285145093828621
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,354,0.283164640020276
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,355,0.279608081340465
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,356,0.276826951057613
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,357,0.274021370023123
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,358,0.272974451511356
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,359,0.268133174394257
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,360,0.265125758476568
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,361,0.262173587372931
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,362,0.259270575095532
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,363,0.255322784948876
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,364,0.253948187679687
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,365,0.253774255969142
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,366,0.251489156574177
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,367,0.248211956386028
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,368,0.245690028778415
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,369,0.242499859235205
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,370,0.239921594248054
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,371,0.233756582887556
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,372,0.231181758143023
