"sample_id","station_id","project","station","datetime","date","time","lat","lon","depth","wavelength","ag"
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,233,21.18527397
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,234,20.81971878
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,235,20.47553543
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,236,20.15382936
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,237,19.84755339
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,238,19.55504936
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,239,19.27682393
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,240,19.01501889
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,241,18.76293251
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,242,18.52429565
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,243,18.30346098
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,244,18.09591462
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,245,17.90126506
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,246,17.72110137
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,247,17.54443824
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,248,17.38781121
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,249,17.2308157
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,250,17.08814485
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,251,16.95309693
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,252,16.82359924
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,253,16.69675
