class,wavelength,r_b_mean,r_b_sd
coraline_crustose_algae,340,0.10241529411764708,0.032882303640918514
coraline_crustose_algae,342,0.10349,0.033390573847644475
coraline_crustose_algae,344,0.1019635294117647,0.03419656552090583
coraline_crustose_algae,346,0.10162375,0.03359721650719371
coraline_crustose_algae,348,0.10012941176470587,0.03592859363836068
coraline_crustose_algae,350,0.10006625000000002,0.03200292760045554
coraline_crustose_algae,352,0.10384867647058824,0.03124780087590889
coraline_crustose_algae,354,0.10465213235294119,0.029251264516582807
coraline_crustose_algae,356,0.1038075,0.030330254594216646
coraline_crustose_algae,358,0.1009258823529412,0.03342588832597604
coraline_crustose_algae,360,0.1019320588235294,0.03012004501939126
coraline_crustose_algae,362,0.10151867647058825,0.030479461262029054
coraline_crustose_algae,364,0.10433749999999999,0.030948995654645255
coraline_crustose_algae,366,0.1032594117647059,0.029999237990655764
coraline_crustose_algae,368,0.10302874999999999,0.03104180573235069
coraline_crustose_algae,370,0.10165470588235294,0.03012447070562598
coraline_crustose_algae,372,0.1016,0.02968869734427564
coraline_crustose_algae,374,0.10048911764705883,0.029429157827736547
coraline_crustose_algae,376,0.09938838235294119,0.030161221994294617
coraline_crustose_algae,378,0.09892036764705882,0.030582513953846896
coraline_crustose_algae,380,0.09801470588235295,0.02990775644723588
coraline_crustose_algae,382,0.0977875,0.029135586863404693
coraline_crustose_algae,384,0.09668,0.028899469610184882
coraline_crustose_algae,386,0.0959529411764706,0.02919738073051231
coraline_crustose_algae,388,0.09528125,0.029098008885381662
coraline_crustose_algae,390,0.09533,0.029043311676270663
coraline_crustose_algae,392,0.0953025,0.028676726462847878
coraline_crustose_algae,394,0.09393499999999999,0.02806988822564137
coraline_crustose_algae,396,0.09306911764705883,0.027666982163453837
coraline_crustose_algae,398,0.09226,0.027164093947709717
coraline_crustose_algae,400,0.09154,0.026724290215083362
coraline_crustose_algae,402,0.09058,0.026034246676253182
coraline_crustose_algae,404,0.08949617647058825,0.025730212767259487
coraline_crustose_algae,406,0.08804779411764704,0.025203100987826348
coraline_crustose_algae,408,0.08624124999999999,0.02466107549421253
coraline_crustose_algae,410,0.08474750000000002,0.0240233698068152
coraline_crustose_algae,412,0.0830775,0.02357999541123259
coraline_crustose_algae,414,0.08177124999999999,0.02297972509898671
coraline_crustose_algae,416,0.08062875,0.022526668917085803
coraline_crustose_algae,418,0.07986036764705882,0.022073000855229768
coraline_crustose_algae,420,0.07909625,0.021756309070589158
coraline_crustose_algae,422,0.0786825,0.02143626927954115
coraline_crustose_algae,424,0.07831250000000001,0.021080586170247974
coraline_crustose_algae,426,0.07784125,0.020840338738849707
coraline_crustose_algae,428,0.07737279411764707,0.02060293680721707
coraline_crustose_algae,430,0.07669749999999999,0.02027706023749498
coraline_crustose_algae,432,0.07569250000000001,0.019728361123998343
coraline_crustose_algae,434,0.07492875,0.019189100910412656
coraline_crustose_algae,436,0.07438933333333334,0.01886004732783917
coraline_crustose_algae,438,0.07419625,0.01873074928426516
coraline_crustose_algae,440,0.0743525,0.018678808911270273
coraline_crustose_algae,442,0.07493999999999999,0.0187432261722402
coraline_crustose_algae,444,0.076295,0.019165442023828975
coraline_crustose_algae,446,0.07836250000000002,0.01993248761444492
coraline_crustose_algae,448,0.08110749999999999,0.02095515039614365
coraline_crustose_algae,450,0.08439374999999999,0.022127770836383422
coraline_crustose_algae,452,0.08785124999999999,0.02345826430200026
coraline_crustose_algae,454,0.09112750000000001,0.02473192427056578
coraline_crustose_algae,456,0.09389375,0.025811903746140067
coraline_crustose_algae,458,0.09601124999999999,0.026723374745950414
coraline_crustose_algae,460,0.09736249999999999,0.027425007121694614
coraline_crustose_algae,462,0.09814500000000001,0.027904074803243344
coraline_crustose_algae,464,0.098715,0.02829948845606577
coraline_crustose_algae,466,0.0991625,0.028680895209180626
coraline_crustose_algae,468,0.09967333333333334,0.02903465946072038
coraline_crustose_algae,470,0.10032375,0.02947467046836572
coraline_crustose_algae,472,0.10103125,0.029843426699819514
coraline_crustose_algae,474,0.10168124999999999,0.030212222019821714
coraline_crustose_algae,476,0.10205875,0.03040150932982194
coraline_crustose_algae,478,0.10198125,0.030374771089672434
coraline_crustose_algae,480,0.10144,0.0301193036626845
coraline_crustose_algae,482,0.1003375,0.029644998524203034
coraline_crustose_algae,484,0.0987625,0.028986020337397136
coraline_crustose_algae,486,0.0967775,0.028153333505998884
coraline_crustose_algae,488,0.09441249999999998,0.027117259840367332
coraline_crustose_algae,490,0.092245,0.026091929726928986
coraline_crustose_algae,492,0.09054875000000001,0.025305997004168804
coraline_crustose_algae,494,0.0892575,0.024711824804256155
coraline_crustose_algae,496,0.088625,0.024369152744171275
coraline_crustose_algae,498,0.08885,0.02444403205539135
coraline_crustose_algae,500,0.0899375,0.024979277348934657
coraline_crustose_algae,502,0.09189249999999999,0.02593689848700108
coraline_crustose_algae,504,0.09485016666666665,0.027416523873424973
coraline_crustose_algae,506,0.09852250000000001,0.029289615133823468
coraline_crustose_algae,508,0.10256749999999999,0.031430107779007066
coraline_crustose_algae,510,0.10661000000000001,0.03369784819029622
coraline_crustose_algae,512,0.11047499999999999,0.0359807153208493
coraline_crustose_algae,514,0.11351999999999998,0.03784629621904893
coraline_crustose_algae,516,0.11592124999999998,0.0394170555477645
coraline_crustose_algae,518,0.11752875000000002,0.04062094994234813
coraline_crustose_algae,520,0.11850500000000001,0.041537411459806335
coraline_crustose_algae,522,0.11907666666666666,0.042153976351255666
coraline_crustose_algae,524,0.119058,0.04241430210583453
coraline_crustose_algae,526,0.11851625,0.04237235970756762
coraline_crustose_algae,528,0.11764875000000001,0.04213180540766943
coraline_crustose_algae,530,0.11660483333333331,0.041694875036454464
coraline_crustose_algae,532,0.1157275,0.04128796207734161
coraline_crustose_algae,534,0.11480625000000001,0.040979916479752625
coraline_crustose_algae,536,0.11394,0.0405696696764498
coraline_crustose_algae,538,0.11329825,0.04027554653549272
coraline_crustose_algae,540,0.11270533333333334,0.039924029912377895
coraline_crustose_algae,542,0.11217191666666665,0.03959800374150822
coraline_crustose_algae,544,0.111885,0.03933910581207649
coraline_crustose_algae,546,0.11180625000000001,0.039198339165275514
coraline_crustose_algae,548,0.11191066666666667,0.03908643373630065
coraline_crustose_algae,550,0.112095,0.03894905411439731
coraline_crustose_algae,552,0.11229008333333333,0.03879819450356049
